phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
FT16,10000,Tuescha-9,,9.05,48.53,GER,54.5,6520
FT16,100000,Wil-1,CS78702,25.3167,54.6833,Lithuania,48.25,6521
FT16,10001,TueV-13,CS76407,9.05,48.52,GER,49.5,6522
FT16,10002,TueWal-2,CS76405,9.04,48.53,GER,42.5,6523
FT16,10003,WalHaesB4,,9.19,48.6,GER,57.66666667,6524
FT16,10004,Bolin-1,CS76373,25.74,44.46,Romania,79.0,6525
FT16,10005,Copac-1,CS76420,21.95,46.11,Romania,67.25,6526
FT16,10006,Kastel-1,CS76395,34.3814,44.6419,Ukraine,131.5,6527
FT16,10007,Koch-1,,29.3244,50.3553,Ukraine,61.25,6528
FT16,10008,Sij-1,CS76379,70.05,41.45,Uzbekistan,73.0,6529
FT16,10009,Sij-2,CS76380,70.05,41.45,Uzbekistan,77.75,6530
FT16,10010,Sij-4,CS76381,70.05,41.45,Uzbekistan,75.25,6531
FT16,10011,Yeg-1,CS76394,45.3622,39.8692,Armenia,65.25,6532
FT16,10012,Istisu-1,CS76389,48.5594,38.9786,Azerbaijan,105.6666667,6533
FT16,10013,Lerik1-3,CS76388,48.6131,38.7406,Azerbaijan,100.0,6534
FT16,10014,Xan-1,CS76387,48.7992,38.6536,Azerbaijan,132.0,6535
FT16,10015,Ara-1,CS76382,71.3,37.29,Afghanistan,51.25,6536
FT16,10016,Del-10,,21.1828,44.9444,SRV,72.0,6537
FT16,10017,Petro-1,CS76370,21.46,44.34,Serbia,76.5,6538
FT16,10018,Dobra-1,CS76369,20.16,44.84,Serbia,81.33333333,6539
FT16,10019,KZ10,,54.93,48.67,Kazakhstan,42.0,6540
FT16,1002,Ale-Stenar-64-24,CS76654,14.05,55.3833,Sweden,86.25,6541
FT16,10020,Jl-2,CS76956,16.5,49.17,Czech Republic,48.0,6542
FT16,10021,Hl-0,,9.37827,52.1444,GER,44.0,6543
FT16,10022,Uk-3,CS78777,7.7667,48.0333,GER,45.25,6544
FT16,10023,Strand-1,CS77284,15.45,68.8,Norway,90.0,6545
FT16,10024,Tnz-1,,,,Tanzania,43.25,6546
FT16,10025,Bsch-2,,8.67,50.01,GER,45.5,6547
FT16,10026,Bg-5,,-122.305,47.6479,US,49.5,6548
FT16,1061,Brösarp-11-135,CS76727,14.1333,55.7167,Sweden,94.75,6549
FT16,1062,Brösarp-15-138,CS76728,14.1333,55.7167,Sweden,68.25,6550
FT16,1063,Brösarp-21-140,CS76729,14.1333,55.7167,Sweden,64.25,6551
FT16,1074,Brösarp-61-162,,14.1333,55.7167,Sweden,90.75,6553
FT16,108,LDV-18,CS77013,-4.06667,48.5167,France,52.25,6554
FT16,1137,Gårdby-22-213,,16.65,56.6167,Sweden,107.6666667,6555
FT16,1158,Aledal-6-49,CS76656,16.5167,56.7,Sweden,88.0,6556
FT16,1254,Tos-82-387,CS77379,17.0167,59.4333,Sweden,106.0,6557
FT16,1257,Tos-95-393,CS77380,17.0167,59.4333,Sweden,93.25,6558
FT16,1317,Ängsö-74-430,CS76665,16.8667,59.5667,Sweden,102.0,6559
FT16,1318,Ängsö-80-432,,16.8667,59.5667,Sweden,123.0,6560
FT16,1363,Ham-7-233,,17.5833,59.7833,Sweden,96.0,6561
FT16,1367,Ham-13-241,,17.5833,59.7833,Sweden,88.75,6562
FT16,139,LDV-46,CS77014,-4.06667,48.5167,France,52.75,6563
FT16,1435,Röd-17-319,,18.2,62.8,Sweden,45.66666667,6564
FT16,1552,Sku-30,CS77251,18.3667,63.0833,Sweden,115.3333333,6565
FT16,1585,Hen-16-268,,15.6,65.25,Sweden,103.25,6566
FT16,159,MAR2-3,CS77070,3.93333,47.35,France,56.75,6567
FT16,1829,Mdn-1,CS77077,-86.509,42.051,US,99.0,6568
FT16,1853,MNF-Pot-21,CS77099,-86.2657,43.595,US,69.33333333,6569
FT16,1872,MNF-Pot-75,CS77100,-86.2657,43.595,US,82.5,6570
FT16,1890,MNF-Riv-21,CS77101,-86.1859,43.5139,US,75.75,6571
FT16,1925,MNF-Che-2,CS77096,-86.1843,43.5251,US,89.5,6572
FT16,1954,MNF-Jac-12,CS77097,-86.1739,43.5187,US,101.0,6573
FT16,2016,MNF-Pin-39,CS77098,-86.1788,43.5356,US,69.75,6574
FT16,2171,Paw-26,CS77164,-86.431,42.148,US,82.5,6575
FT16,2202,Pent-23,CS77168,-86.3929,43.7623,US,96.5,6576
FT16,2276,SLSP-31,CS77254,-86.496,43.665,US,84.25,6577
FT16,2278,SLSP-35,CS77255,-86.496,43.665,US,85.0,6578
FT16,2317,Ste-40,CS77278,-86.514,42.03,US,53.5,6579
FT16,265,PYL-6,CS77198,-1.16667,44.65,France,47.25,6580
FT16,350,TOU-A1-88,CS77382,4.11667,46.6667,France,51.5,6581
FT16,351,TOU-A1-89,CS77383,4.11667,46.6667,France,65.33333333,6582
