trait_type	phenocode	description	pheno_sex	n_cases_full_cohort_both_sexes
categorical	1647	Country of birth (UK/elsewhere)	both_sexes	34770
categorical	1647	Country of birth (UK/elsewhere)	both_sexes	2310
categorical	1647	Country of birth (UK/elsewhere)	both_sexes	3106
categorical	1647	Country of birth (UK/elsewhere)	both_sexes	26592
categorical	1677	Breastfed as a baby	both_sexes	243311
categorical	1707	Handedness (chirality/laterality)	both_sexes	391823
categorical	1707	Handedness (chirality/laterality)	both_sexes	41411
categorical	1707	Handedness (chirality/laterality)	both_sexes	7405
categorical	1747	Hair colour (natural, before greying)	both_sexes	47976
categorical	1747	Hair colour (natural, before greying)	both_sexes	19253
categorical	1747	Hair colour (natural, before greying)	both_sexes	172619
categorical	1747	Hair colour (natural, before greying)	both_sexes	161418
categorical	1747	Hair colour (natural, before greying)	both_sexes	32981
categorical	1747	Hair colour (natural, before greying)	both_sexes	5438
categorical	1767	Adopted as a child	both_sexes	5920
categorical	1777	Part of a multiple birth	both_sexes	9840
categorical	1787	Maternal smoking around birth	both_sexes	112518
categorical	1797	Father still alive	both_sexes	100355
categorical	1835	Mother still alive	both_sexes	169260
categorical	1920	Mood swings	both_sexes	195190
categorical	1930	Miserableness	both_sexes	184995
categorical	1940	Irritability	both_sexes	117008
categorical	1950	Sensitivity / hurt feelings	both_sexes	236928
categorical	1960	Fed-up feelings	both_sexes	174993
categorical	1970	Nervous feelings	both_sexes	100649
categorical	1980	Worrier / anxious feelings	both_sexes	241833
categorical	1990	Tense / 'highly strung'	both_sexes	73836
categorical	2000	Worry too long after embarrassment	both_sexes	201458
categorical	20001	Cancer code, self-reported	both_sexes	246
categorical	20001	Cancer code, self-reported	both_sexes	1328
categorical	20001	Cancer code, self-reported	both_sexes	318
categorical	20001	Cancer code, self-reported	both_sexes	134
categorical	20001	Cancer code, self-reported	both_sexes	185
categorical	20001	Cancer code, self-reported	both_sexes	155
categorical	20001	Cancer code, self-reported	both_sexes	198
categorical	20001	Cancer code, self-reported	both_sexes	592
categorical	20001	Cancer code, self-reported	both_sexes	1384
categorical	20001	Cancer code, self-reported	both_sexes	301
categorical	20001	Cancer code, self-reported	both_sexes	154
categorical	20001	Cancer code, self-reported	both_sexes	127
categorical	20001	Cancer code, self-reported	both_sexes	193
categorical	20001	Cancer code, self-reported	both_sexes	555
categorical	20001	Cancer code, self-reported	both_sexes	996
categorical	20001	Cancer code, self-reported	both_sexes	108
categorical	20001	Cancer code, self-reported	both_sexes	189
categorical	20001	Cancer code, self-reported	both_sexes	152
categorical	20001	Cancer code, self-reported	both_sexes	396
categorical	20001	Cancer code, self-reported	both_sexes	797
categorical	20001	Cancer code, self-reported	both_sexes	277
categorical	20001	Cancer code, self-reported	both_sexes	3322
categorical	20001	Cancer code, self-reported	both_sexes	625
categorical	20001	Cancer code, self-reported	both_sexes	3947
categorical	20001	Cancer code, self-reported	both_sexes	510
categorical	20001	Cancer code, self-reported	both_sexes	118
categorical	20001	Cancer code, self-reported	both_sexes	388
categorical	20001	Cancer code, self-reported	both_sexes	220
categorical	20001	Cancer code, self-reported	both_sexes	117
categorical	20001	Cancer code, self-reported	both_sexes	585
categorical	20001	Cancer code, self-reported	both_sexes	465
categorical	20002	Non-cancer illness code, self-reported	both_sexes	115530
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1353
categorical	20002	Non-cancer illness code, self-reported	both_sexes	785
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2049
categorical	20002	Non-cancer illness code, self-reported	both_sexes	14124
categorical	20002	Non-cancer illness code, self-reported	both_sexes	10137
categorical	20002	Non-cancer illness code, self-reported	both_sexes	260
