trait_type	phenocode	description	pheno_sex	n_cases_full_cohort_both_sexes
categorical	20003	Treatment/medication code	both_sexes	540
categorical	20003	Treatment/medication code	both_sexes	475
categorical	20003	Treatment/medication code	both_sexes	127
categorical	20003	Treatment/medication code	both_sexes	351
categorical	20003	Treatment/medication code	both_sexes	212
categorical	20003	Treatment/medication code	both_sexes	118
categorical	20003	Treatment/medication code	both_sexes	2584
categorical	20003	Treatment/medication code	both_sexes	842
categorical	20003	Treatment/medication code	both_sexes	341
categorical	20003	Treatment/medication code	both_sexes	147
categorical	20003	Treatment/medication code	both_sexes	184
categorical	20003	Treatment/medication code	both_sexes	504
categorical	20003	Treatment/medication code	both_sexes	431
categorical	20003	Treatment/medication code	both_sexes	348
categorical	20003	Treatment/medication code	both_sexes	161
categorical	20003	Treatment/medication code	both_sexes	314
categorical	20003	Treatment/medication code	both_sexes	5112
categorical	20003	Treatment/medication code	both_sexes	1410
categorical	20003	Treatment/medication code	both_sexes	730
categorical	20003	Treatment/medication code	both_sexes	590
categorical	20003	Treatment/medication code	both_sexes	103
categorical	20003	Treatment/medication code	both_sexes	145
categorical	20003	Treatment/medication code	both_sexes	102
categorical	20003	Treatment/medication code	both_sexes	232
categorical	20003	Treatment/medication code	both_sexes	256
categorical	20003	Treatment/medication code	both_sexes	469
categorical	20003	Treatment/medication code	both_sexes	482
categorical	20003	Treatment/medication code	both_sexes	865
categorical	20003	Treatment/medication code	both_sexes	373
categorical	20003	Treatment/medication code	both_sexes	154
categorical	20003	Treatment/medication code	both_sexes	110
categorical	20003	Treatment/medication code	both_sexes	739
categorical	20003	Treatment/medication code	both_sexes	331
categorical	20003	Treatment/medication code	both_sexes	379
categorical	20003	Treatment/medication code	both_sexes	250
categorical	20003	Treatment/medication code	both_sexes	232
categorical	20003	Treatment/medication code	both_sexes	110
categorical	20003	Treatment/medication code	both_sexes	185
categorical	20003	Treatment/medication code	both_sexes	510
categorical	20003	Treatment/medication code	both_sexes	1061
categorical	20003	Treatment/medication code	both_sexes	609
categorical	20003	Treatment/medication code	both_sexes	228
categorical	20003	Treatment/medication code	both_sexes	256
categorical	20003	Treatment/medication code	both_sexes	156
categorical	20003	Treatment/medication code	both_sexes	275
categorical	20003	Treatment/medication code	both_sexes	116
categorical	20003	Treatment/medication code	both_sexes	244
categorical	20003	Treatment/medication code	both_sexes	575
categorical	20003	Treatment/medication code	both_sexes	28819
categorical	20003	Treatment/medication code	both_sexes	106
categorical	20003	Treatment/medication code	both_sexes	167
categorical	20003	Treatment/medication code	both_sexes	102
categorical	20003	Treatment/medication code	both_sexes	162
categorical	20003	Treatment/medication code	both_sexes	153
categorical	20003	Treatment/medication code	both_sexes	376
categorical	20003	Treatment/medication code	both_sexes	128
categorical	20003	Treatment/medication code	both_sexes	136
categorical	20003	Treatment/medication code	both_sexes	17875
categorical	20003	Treatment/medication code	both_sexes	241
categorical	20003	Treatment/medication code	both_sexes	2656
categorical	20003	Treatment/medication code	both_sexes	267
categorical	20003	Treatment/medication code	both_sexes	2573
categorical	20003	Treatment/medication code	both_sexes	788
categorical	20003	Treatment/medication code	both_sexes	818
categorical	20003	Treatment/medication code	both_sexes	519
categorical	20003	Treatment/medication code	both_sexes	252
categorical	20003	Treatment/medication code	both_sexes	158
categorical	20003	Treatment/medication code	both_sexes	285
categorical	20003	Treatment/medication code	both_sexes	24847
categorical	20003	Treatment/medication code	both_sexes	173
categorical	20003	Treatment/medication code	both_sexes	112
categorical	20003	Treatment/medication code	both_sexes	286
categorical	20003	Treatment/medication code	both_sexes	239
categorical	20003	Treatment/medication code	both_sexes	872
categorical	20003	Treatment/medication code	both_sexes	115
categorical	20003	Treatment/medication code	both_sexes	148
categorical	20003	Treatment/medication code	both_sexes	649
categorical	20003	Treatment/medication code	both_sexes	383
categorical	20003	Treatment/medication code	both_sexes	347
categorical	20003	Treatment/medication code	both_sexes	125
categorical	20003	Treatment/medication code	both_sexes	105
categorical	20003	Treatment/medication code	both_sexes	5438
categorical	20003	Treatment/medication code	both_sexes	1430
categorical	20003	Treatment/medication code	both_sexes	16289
categorical	20003	Treatment/medication code	both_sexes	1116
categorical	20003	Treatment/medication code	both_sexes	937
categorical	20003	Treatment/medication code	both_sexes	1561
categorical	20003	Treatment/medication code	both_sexes	743
categorical	20003	Treatment/medication code	both_sexes	403
categorical	20003	Treatment/medication code	both_sexes	649
categorical	20003	Treatment/medication code	both_sexes	1082
categorical	20003	Treatment/medication code	both_sexes	116
categorical	20003	Treatment/medication code	both_sexes	383
categorical	20003	Treatment/medication code	both_sexes	82609
categorical	20003	Treatment/medication code	both_sexes	14589
categorical	20004	Operation code	both_sexes	854
categorical	20004	Operation code	both_sexes	4577
categorical	20004	Operation code	both_sexes	290
categorical	20004	Operation code	both_sexes	3345
categorical	20004	Operation code	both_sexes	788
categorical	20004	Operation code	both_sexes	212
categorical	20004	Operation code	both_sexes	629
categorical	20004	Operation code	both_sexes	392
categorical	20004	Operation code	both_sexes	122
categorical	20004	Operation code	both_sexes	258
categorical	20004	Operation code	both_sexes	318
categorical	20004	Operation code	both_sexes	248
categorical	20004	Operation code	both_sexes	252
categorical	20004	Operation code	both_sexes	505
categorical	20004	Operation code	both_sexes	369
categorical	20004	Operation code	both_sexes	318
categorical	20004	Operation code	both_sexes	6989
categorical	20004	Operation code	both_sexes	14975
categorical	20004	Operation code	both_sexes	2514
categorical	20004	Operation code	both_sexes	2592
categorical	20004	Operation code	both_sexes	277
categorical	20004	Operation code	both_sexes	2459
categorical	20004	Operation code	both_sexes	671
categorical	20004	Operation code	both_sexes	957
categorical	20004	Operation code	both_sexes	1358
categorical	20004	Operation code	both_sexes	2176
categorical	20004	Operation code	both_sexes	10624
categorical	20004	Operation code	both_sexes	1114
categorical	20004	Operation code	both_sexes	670
categorical	20004	Operation code	both_sexes	409
categorical	20004	Operation code	both_sexes	581
categorical	20004	Operation code	both_sexes	196
categorical	20004	Operation code	both_sexes	3477
categorical	20004	Operation code	both_sexes	12461
categorical	20004	Operation code	both_sexes	6763
categorical	20004	Operation code	both_sexes	5407
categorical	20004	Operation code	both_sexes	5265
categorical	20004	Operation code	both_sexes	18516
categorical	20004	Operation code	both_sexes	2523
categorical	20004	Operation code	both_sexes	44409
categorical	20004	Operation code	both_sexes	738
categorical	20004	Operation code	both_sexes	124
categorical	20004	Operation code	both_sexes	2168
categorical	20004	Operation code	both_sexes	3950
categorical	20004	Operation code	both_sexes	18862
categorical	20004	Operation code	both_sexes	678
categorical	20004	Operation code	both_sexes	1456
categorical	20004	Operation code	both_sexes	4325
categorical	20004	Operation code	both_sexes	14633
categorical	20004	Operation code	both_sexes	3093
categorical	20004	Operation code	both_sexes	271
categorical	20004	Operation code	both_sexes	2767
categorical	20004	Operation code	both_sexes	14279
categorical	20004	Operation code	both_sexes	3895
categorical	20004	Operation code	both_sexes	1621
categorical	20004	Operation code	both_sexes	2704
categorical	20004	Operation code	both_sexes	506
categorical	20004	Operation code	both_sexes	2194
categorical	20004	Operation code	both_sexes	777
categorical	20004	Operation code	both_sexes	4120
categorical	20004	Operation code	both_sexes	4064
categorical	20004	Operation code	both_sexes	4872
categorical	20004	Operation code	both_sexes	606
categorical	20004	Operation code	both_sexes	2444
categorical	20004	Operation code	both_sexes	162
categorical	20004	Operation code	both_sexes	19757
categorical	20004	Operation code	both_sexes	189
categorical	20004	Operation code	both_sexes	394
categorical	20004	Operation code	both_sexes	519
categorical	20004	Operation code	both_sexes	706
categorical	20004	Operation code	both_sexes	1315
categorical	20004	Operation code	both_sexes	2445
categorical	20004	Operation code	both_sexes	486
categorical	20004	Operation code	both_sexes	356
categorical	20004	Operation code	both_sexes	242
categorical	20004	Operation code	both_sexes	883
categorical	20004	Operation code	both_sexes	17108
categorical	20004	Operation code	both_sexes	114
categorical	20004	Operation code	both_sexes	51542
categorical	20004	Operation code	both_sexes	776
categorical	20004	Operation code	both_sexes	2624
categorical	20004	Operation code	both_sexes	1174
categorical	20004	Operation code	both_sexes	732
categorical	20004	Operation code	both_sexes	1730
categorical	20004	Operation code	both_sexes	1834
categorical	20004	Operation code	both_sexes	593
categorical	20004	Operation code	both_sexes	2590
categorical	20004	Operation code	both_sexes	1721
categorical	20004	Operation code	both_sexes	229
categorical	20004	Operation code	both_sexes	102
categorical	20004	Operation code	both_sexes	575
categorical	20004	Operation code	both_sexes	897
categorical	20004	Operation code	both_sexes	244
categorical	20004	Operation code	both_sexes	3631
categorical	20004	Operation code	both_sexes	1067
categorical	20004	Operation code	both_sexes	22827
categorical	20004	Operation code	both_sexes	66236
categorical	20004	Operation code	both_sexes	17384
categorical	20004	Operation code	both_sexes	16829
categorical	20004	Operation code	both_sexes	3131
categorical	20004	Operation code	both_sexes	1018
categorical	20004	Operation code	both_sexes	7846
categorical	20004	Operation code	both_sexes	2419
categorical	20004	Operation code	both_sexes	1317
categorical	20004	Operation code	both_sexes	2357
categorical	20004	Operation code	both_sexes	1509
categorical	20004	Operation code	both_sexes	4037
categorical	20004	Operation code	both_sexes	1293
categorical	20004	Operation code	both_sexes	3939
categorical	20004	Operation code	both_sexes	5590
categorical	20004	Operation code	both_sexes	3602
categorical	20004	Operation code	both_sexes	9481
categorical	20004	Operation code	both_sexes	8368
categorical	20004	Operation code	both_sexes	2009
categorical	20004	Operation code	both_sexes	14262
categorical	20004	Operation code	both_sexes	1665
categorical	20004	Operation code	both_sexes	2380
categorical	20004	Operation code	both_sexes	6499
categorical	20004	Operation code	both_sexes	2552
categorical	20004	Operation code	both_sexes	4571
categorical	20004	Operation code	both_sexes	2060
categorical	20004	Operation code	both_sexes	5630
categorical	20004	Operation code	both_sexes	5929
categorical	20004	Operation code	both_sexes	1285
categorical	20004	Operation code	both_sexes	5093
categorical	20004	Operation code	both_sexes	2530
categorical	20004	Operation code	both_sexes	1782
categorical	20004	Operation code	both_sexes	2608
categorical	20004	Operation code	both_sexes	24455
categorical	20004	Operation code	both_sexes	1736
categorical	20004	Operation code	both_sexes	3609
categorical	20004	Operation code	both_sexes	4092
categorical	20004	Operation code	both_sexes	2922
categorical	20004	Operation code	both_sexes	385
categorical	20004	Operation code	both_sexes	498
categorical	20004	Operation code	both_sexes	8637
categorical	20004	Operation code	both_sexes	372
categorical	20004	Operation code	both_sexes	8458
categorical	20004	Operation code	both_sexes	7655
categorical	20004	Operation code	both_sexes	1471
categorical	20004	Operation code	both_sexes	1814
categorical	20004	Operation code	both_sexes	586
categorical	20004	Operation code	both_sexes	180
categorical	20004	Operation code	both_sexes	791
categorical	20004	Operation code	both_sexes	178
categorical	20004	Operation code	both_sexes	1089
categorical	20004	Operation code	both_sexes	347
categorical	20004	Operation code	both_sexes	1525
categorical	20004	Operation code	both_sexes	1106
categorical	20004	Operation code	both_sexes	690
categorical	20004	Operation code	both_sexes	1920
categorical	20004	Operation code	both_sexes	444
categorical	20004	Operation code	both_sexes	651
categorical	20004	Operation code	both_sexes	869
categorical	20004	Operation code	both_sexes	297
categorical	20004	Operation code	both_sexes	587
categorical	20004	Operation code	both_sexes	1036
categorical	20004	Operation code	both_sexes	400
categorical	20004	Operation code	both_sexes	671
categorical	20004	Operation code	both_sexes	293
categorical	20004	Operation code	both_sexes	424
categorical	20004	Operation code	both_sexes	234
categorical	20004	Operation code	both_sexes	116
categorical	20004	Operation code	both_sexes	372
categorical	20004	Operation code	both_sexes	307
categorical	20004	Operation code	both_sexes	273
categorical	20004	Operation code	both_sexes	692
categorical	20004	Operation code	both_sexes	2470
categorical	20004	Operation code	both_sexes	1477
categorical	20004	Operation code	both_sexes	1237
categorical	20004	Operation code	both_sexes	176
categorical	20004	Operation code	both_sexes	19361
categorical	20004	Operation code	both_sexes	2360
categorical	20004	Operation code	both_sexes	6150
categorical	20004	Operation code	both_sexes	373
categorical	20004	Operation code	both_sexes	153
categorical	20004	Operation code	both_sexes	152
categorical	20004	Operation code	both_sexes	224
categorical	20004	Operation code	both_sexes	138
categorical	20004	Operation code	both_sexes	148
categorical	20004	Operation code	both_sexes	580
categorical	20004	Operation code	both_sexes	211
categorical	20004	Operation code	both_sexes	135
categorical	20004	Operation code	both_sexes	297
categorical	20004	Operation code	both_sexes	333
categorical	20004	Operation code	both_sexes	189
categorical	20004	Operation code	both_sexes	587
categorical	20004	Operation code	both_sexes	305
categorical	20004	Operation code	both_sexes	153
categorical	20004	Operation code	both_sexes	782
categorical	20004	Operation code	both_sexes	688
categorical	20004	Operation code	both_sexes	102
categorical	20004	Operation code	both_sexes	1006
categorical	20004	Operation code	both_sexes	722
categorical	20004	Operation code	both_sexes	187
categorical	20004	Operation code	both_sexes	103
categorical	20004	Operation code	both_sexes	575
categorical	20004	Operation code	both_sexes	334
categorical	20004	Operation code	both_sexes	229
categorical	20004	Operation code	both_sexes	251
categorical	20004	Operation code	both_sexes	256
categorical	20004	Operation code	both_sexes	202
categorical	20004	Operation code	both_sexes	321
categorical	20004	Operation code	both_sexes	110
categorical	20004	Operation code	both_sexes	283
categorical	20004	Operation code	both_sexes	135
categorical	20004	Operation code	both_sexes	155
categorical	20004	Operation code	both_sexes	8673
categorical	20079	Day-of-week questionnaire completion requested	both_sexes	9686
categorical	20079	Day-of-week questionnaire completion requested	both_sexes	9949
categorical	20079	Day-of-week questionnaire completion requested	both_sexes	10296
categorical	20079	Day-of-week questionnaire completion requested	both_sexes	10423
categorical	20079	Day-of-week questionnaire completion requested	both_sexes	10691
categorical	20079	Day-of-week questionnaire completion requested	both_sexes	10755
categorical	20079	Day-of-week questionnaire completion requested	both_sexes	142
categorical	20080	Day-of-week questionnaire completed	both_sexes	9686
categorical	20080	Day-of-week questionnaire completed	both_sexes	9949
categorical	20080	Day-of-week questionnaire completed	both_sexes	10296
categorical	20080	Day-of-week questionnaire completed	both_sexes	10423
categorical	20080	Day-of-week questionnaire completed	both_sexes	10691
categorical	20080	Day-of-week questionnaire completed	both_sexes	10755
categorical	20080	Day-of-week questionnaire completed	both_sexes	142
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	4627
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	1555
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	340
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	3585
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	14769
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	9267
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	2748
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	572
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	1319
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	1230
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	3919
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	1995
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	1157
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	738
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	247
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	922
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	933
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	3489
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	885
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	1793
categorical	20084	Vitamin and/or mineral supplement use	both_sexes	2199
categorical	20085	Reason for not eating or drinking normally	both_sexes	324
categorical	20085	Reason for not eating or drinking normally	both_sexes	4683
categorical	20085	Reason for not eating or drinking normally	both_sexes	6343
categorical	20086	Type of special diet followed	both_sexes	7530
categorical	20086	Type of special diet followed	both_sexes	2399
categorical	20086	Type of special diet followed	both_sexes	209
categorical	20086	Type of special diet followed	both_sexes	2131
categorical	20086	Type of special diet followed	both_sexes	1356
categorical	20086	Type of special diet followed	both_sexes	933
categorical	20087	Types of spread used on bread/crackers	both_sexes	14872
categorical	20087	Types of spread used on bread/crackers	both_sexes	6292
categorical	20087	Types of spread used on bread/crackers	both_sexes	1239
categorical	20087	Types of spread used on bread/crackers	both_sexes	6478
categorical	20087	Types of spread used on bread/crackers	both_sexes	526
categorical	20087	Types of spread used on bread/crackers	both_sexes	7532
categorical	20087	Types of spread used on bread/crackers	both_sexes	256
categorical	20087	Types of spread used on bread/crackers	both_sexes	2847
categorical	20087	Types of spread used on bread/crackers	both_sexes	2146
categorical	20087	Types of spread used on bread/crackers	both_sexes	697
categorical	20087	Types of spread used on bread/crackers	both_sexes	626
categorical	20087	Types of spread used on bread/crackers	both_sexes	12885
categorical	20087	Types of spread used on bread/crackers	both_sexes	735
categorical	20087	Types of spread used on bread/crackers	both_sexes	5532
categorical	20087	Types of spread used on bread/crackers	both_sexes	2285
categorical	20087	Types of spread used on bread/crackers	both_sexes	2811
categorical	20087	Types of spread used on bread/crackers	both_sexes	585
categorical	20087	Types of spread used on bread/crackers	both_sexes	3949
categorical	20087	Types of spread used on bread/crackers	both_sexes	1411
categorical	20087	Types of spread used on bread/crackers	both_sexes	1669
categorical	20087	Types of spread used on bread/crackers	both_sexes	252
categorical	20087	Types of spread used on bread/crackers	both_sexes	949
categorical	20087	Types of spread used on bread/crackers	both_sexes	331
categorical	20087	Types of spread used on bread/crackers	both_sexes	277
categorical	20087	Types of spread used on bread/crackers	both_sexes	128
categorical	20087	Types of spread used on bread/crackers	both_sexes	2535
categorical	20087	Types of spread used on bread/crackers	both_sexes	636
categorical	20087	Types of spread used on bread/crackers	both_sexes	596
categorical	20087	Types of spread used on bread/crackers	both_sexes	120
categorical	20087	Types of spread used on bread/crackers	both_sexes	807
categorical	20087	Types of spread used on bread/crackers	both_sexes	121
categorical	20087	Types of spread used on bread/crackers	both_sexes	169
categorical	20088	Types of spreads/sauces consumed	both_sexes	11559
categorical	20088	Types of spreads/sauces consumed	both_sexes	1929
categorical	20088	Types of spreads/sauces consumed	both_sexes	1250
categorical	20088	Types of spreads/sauces consumed	both_sexes	2922
categorical	20088	Types of spreads/sauces consumed	both_sexes	2290
categorical	20088	Types of spreads/sauces consumed	both_sexes	226
categorical	20088	Types of spreads/sauces consumed	both_sexes	2512
categorical	20088	Types of spreads/sauces consumed	both_sexes	2585
categorical	20088	Types of spreads/sauces consumed	both_sexes	1636
categorical	20088	Types of spreads/sauces consumed	both_sexes	3348
categorical	20088	Types of spreads/sauces consumed	both_sexes	5002
categorical	20088	Types of spreads/sauces consumed	both_sexes	2866
categorical	20088	Types of spreads/sauces consumed	both_sexes	1548
categorical	20088	Types of spreads/sauces consumed	both_sexes	508
categorical	20088	Types of spreads/sauces consumed	both_sexes	2768
categorical	20088	Types of spreads/sauces consumed	both_sexes	1026
categorical	20088	Types of spreads/sauces consumed	both_sexes	1304
categorical	20088	Types of spreads/sauces consumed	both_sexes	4001
categorical	20088	Types of spreads/sauces consumed	both_sexes	2637
categorical	20089	Type of meals eaten	both_sexes	2535
categorical	20089	Type of meals eaten	both_sexes	9174
categorical	20089	Type of meals eaten	both_sexes	5472
categorical	20089	Type of meals eaten	both_sexes	4714
categorical	20089	Type of meals eaten	both_sexes	49643
categorical	20090	Type of fat/oil used in cooking	both_sexes	10662
categorical	20090	Type of fat/oil used in cooking	both_sexes	21770
categorical	20090	Type of fat/oil used in cooking	both_sexes	8138
categorical	20090	Type of fat/oil used in cooking	both_sexes	5126
categorical	20090	Type of fat/oil used in cooking	both_sexes	1402
categorical	20090	Type of fat/oil used in cooking	both_sexes	642
categorical	20090	Type of fat/oil used in cooking	both_sexes	7770
categorical	20090	Type of fat/oil used in cooking	both_sexes	2322
categorical	20090	Type of fat/oil used in cooking	both_sexes	616
categorical	20090	Type of fat/oil used in cooking	both_sexes	4319
categorical	20090	Type of fat/oil used in cooking	both_sexes	211
categorical	20090	Type of fat/oil used in cooking	both_sexes	633
categorical	20090	Type of fat/oil used in cooking	both_sexes	3143
categorical	20090	Type of fat/oil used in cooking	both_sexes	165
categorical	20090	Type of fat/oil used in cooking	both_sexes	1316
categorical	20090	Type of fat/oil used in cooking	both_sexes	906
categorical	20090	Type of fat/oil used in cooking	both_sexes	266
categorical	20090	Type of fat/oil used in cooking	both_sexes	191
categorical	20090	Type of fat/oil used in cooking	both_sexes	5049
categorical	20090	Type of fat/oil used in cooking	both_sexes	351
categorical	20090	Type of fat/oil used in cooking	both_sexes	2209
categorical	20090	Type of fat/oil used in cooking	both_sexes	876
categorical	20090	Type of fat/oil used in cooking	both_sexes	933
categorical	20090	Type of fat/oil used in cooking	both_sexes	163
categorical	20090	Type of fat/oil used in cooking	both_sexes	1467
categorical	20090	Type of fat/oil used in cooking	both_sexes	597
categorical	20090	Type of fat/oil used in cooking	both_sexes	598
categorical	20090	Type of fat/oil used in cooking	both_sexes	534
categorical	20090	Type of fat/oil used in cooking	both_sexes	178
categorical	20090	Type of fat/oil used in cooking	both_sexes	162
categorical	20090	Type of fat/oil used in cooking	both_sexes	892
categorical	20090	Type of fat/oil used in cooking	both_sexes	241
categorical	20090	Type of fat/oil used in cooking	both_sexes	274
categorical	20090	Type of fat/oil used in cooking	both_sexes	241
categorical	20090	Type of fat/oil used in cooking	both_sexes	191
categorical	20090	Type of fat/oil used in cooking	both_sexes	474
categorical	20091	Type of sliced bread eaten	both_sexes	12407
categorical	20091	Type of sliced bread eaten	both_sexes	12194
categorical	20091	Type of sliced bread eaten	both_sexes	15481
categorical	20091	Type of sliced bread eaten	both_sexes	5926
categorical	20091	Type of sliced bread eaten	both_sexes	1027
categorical	20092	Type of baguette eaten	both_sexes	3504
categorical	20092	Type of baguette eaten	both_sexes	1273
categorical	20092	Type of baguette eaten	both_sexes	991
categorical	20092	Type of baguette eaten	both_sexes	480
categorical	20093	Type of large bap eaten	both_sexes	1034
categorical	20093	Type of large bap eaten	both_sexes	410
categorical	20093	Type of large bap eaten	both_sexes	639
categorical	20093	Type of large bap eaten	both_sexes	113
categorical	20094	Type of bread roll eaten	both_sexes	4555
categorical	20094	Type of bread roll eaten	both_sexes	1851
categorical	20094	Type of bread roll eaten	both_sexes	1845
categorical	20094	Type of bread roll eaten	both_sexes	896
categorical	20094	Type of bread roll eaten	both_sexes	127
categorical	20095	Size of white wine glass drunk	both_sexes	2875
categorical	20095	Size of white wine glass drunk	both_sexes	4289
categorical	20095	Size of white wine glass drunk	both_sexes	552
categorical	20096	Size of red wine glass drunk	both_sexes	3450
categorical	20096	Size of red wine glass drunk	both_sexes	5852
categorical	20096	Size of red wine glass drunk	both_sexes	866
categorical	20097	Size of rose wine glass drunk	both_sexes	614
categorical	20097	Size of rose wine glass drunk	both_sexes	889
categorical	20097	Size of rose wine glass drunk	both_sexes	156
categorical	20098	Thickness of butter/margarine spread on sliced bread	both_sexes	11211
categorical	20098	Thickness of butter/margarine spread on sliced bread	both_sexes	13160
categorical	20098	Thickness of butter/margarine spread on sliced bread	both_sexes	1043
categorical	20099	Thickness of butter/margarine spread on baguettes	both_sexes	1296
categorical	20099	Thickness of butter/margarine spread on baguettes	both_sexes	1234
categorical	20099	Thickness of butter/margarine spread on baguettes	both_sexes	109
categorical	2010	Suffer from 'nerves'	both_sexes	89514
categorical	20100	Thickness of butter/margarine spread on large baps	both_sexes	358
categorical	20100	Thickness of butter/margarine spread on large baps	both_sexes	372
categorical	20101	Thickness of butter/margarine spread on bread rolls	both_sexes	1924
categorical	20101	Thickness of butter/margarine spread on bread rolls	both_sexes	2217
categorical	20101	Thickness of butter/margarine spread on bread rolls	both_sexes	205
categorical	20102	Thickness of butter/margarine spread on crackers/crispbreads	both_sexes	1124
categorical	20102	Thickness of butter/margarine spread on crackers/crispbreads	both_sexes	903
categorical	20102	Thickness of butter/margarine spread on crackers/crispbreads	both_sexes	118
categorical	20103	Thickness of butter/margarine spread on oatcakes	both_sexes	155
categorical	20103	Thickness of butter/margarine spread on oatcakes	both_sexes	179
categorical	20104	Thickness of butter/margarine spread on other bread	both_sexes	401
categorical	20104	Thickness of butter/margarine spread on other bread	both_sexes	530
categorical	20105	Liquid used to make porridge	both_sexes	3436
categorical	20105	Liquid used to make porridge	both_sexes	6263
categorical	20106	Type of yogurt eaten	both_sexes	14537
categorical	20106	Type of yogurt eaten	both_sexes	3107
categorical	20107	Illnesses of father	both_sexes	124999
categorical	20107	Illnesses of father	both_sexes	18065
categorical	20107	Illnesses of father	both_sexes	142474
categorical	20107	Illnesses of father	both_sexes	290454
categorical	20107	Illnesses of father	both_sexes	9437
categorical	20107	Illnesses of father	both_sexes	14230
categorical	20107	Illnesses of father	both_sexes	29059
categorical	20107	Illnesses of father	both_sexes	59935
categorical	20107	Illnesses of father	both_sexes	35006
categorical	20107	Illnesses of father	both_sexes	22142
categorical	20107	Illnesses of father	both_sexes	43400
categorical	20107	Illnesses of father	both_sexes	87964
categorical	20107	Illnesses of father	both_sexes	38832
categorical	20108	Ingredients in canned soup	both_sexes	482
categorical	20108	Ingredients in canned soup	both_sexes	488
categorical	20108	Ingredients in canned soup	both_sexes	1606
categorical	20108	Ingredients in canned soup	both_sexes	158
categorical	20109	Ingredients in homemade soup	both_sexes	460
categorical	20109	Ingredients in homemade soup	both_sexes	670
categorical	20109	Ingredients in homemade soup	both_sexes	2656
categorical	20109	Ingredients in homemade soup	both_sexes	304
categorical	20110	Illnesses of mother	both_sexes	80469
categorical	20110	Illnesses of mother	both_sexes	33849
categorical	20110	Illnesses of mother	both_sexes	166935
categorical	20110	Illnesses of mother	both_sexes	315812
categorical	20110	Illnesses of mother	both_sexes	6437
categorical	20110	Illnesses of mother	both_sexes	26240
categorical	20110	Illnesses of mother	both_sexes	57749
categorical	20110	Illnesses of mother	both_sexes	16208
categorical	20110	Illnesses of mother	both_sexes	20451
categorical	20110	Illnesses of mother	both_sexes	32725
categorical	20110	Illnesses of mother	both_sexes	23769
categorical	20110	Illnesses of mother	both_sexes	126350
categorical	20110	Illnesses of mother	both_sexes	40817
categorical	20111	Illnesses of siblings	both_sexes	36225
categorical	20111	Illnesses of siblings	both_sexes	1917
categorical	20111	Illnesses of siblings	both_sexes	232249
categorical	20111	Illnesses of siblings	both_sexes	296233
categorical	20111	Illnesses of siblings	both_sexes	1888
categorical	20111	Illnesses of siblings	both_sexes	24558
categorical	20111	Illnesses of siblings	both_sexes	5619
categorical	20111	Illnesses of siblings	both_sexes	11591
categorical	20111	Illnesses of siblings	both_sexes	7471
categorical	20111	Illnesses of siblings	both_sexes	8307
categorical	20111	Illnesses of siblings	both_sexes	15575
categorical	20111	Illnesses of siblings	both_sexes	9659
categorical	20111	Illnesses of siblings	both_sexes	75245
categorical	20111	Illnesses of siblings	both_sexes	32043
categorical	20112	Illnesses of adopted father	both_sexes	982
categorical	20112	Illnesses of adopted father	both_sexes	155
categorical	20112	Illnesses of adopted father	both_sexes	1075
categorical	20112	Illnesses of adopted father	both_sexes	2132
categorical	20112	Illnesses of adopted father	both_sexes	103
categorical	20112	Illnesses of adopted father	both_sexes	234
categorical	20112	Illnesses of adopted father	both_sexes	494
categorical	20112	Illnesses of adopted father	both_sexes	307
categorical	20112	Illnesses of adopted father	both_sexes	188
categorical	20112	Illnesses of adopted father	both_sexes	502
categorical	20112	Illnesses of adopted father	both_sexes	623
categorical	20112	Illnesses of adopted father	both_sexes	213
categorical	20113	Illnesses of adopted mother	both_sexes	760
categorical	20113	Illnesses of adopted mother	both_sexes	319
categorical	20113	Illnesses of adopted mother	both_sexes	1436
categorical	20113	Illnesses of adopted mother	both_sexes	2469
categorical	20113	Illnesses of adopted mother	both_sexes	257
categorical	20113	Illnesses of adopted mother	both_sexes	502
categorical	20113	Illnesses of adopted mother	both_sexes	175
categorical	20113	Illnesses of adopted mother	both_sexes	202
categorical	20113	Illnesses of adopted mother	both_sexes	337
categorical	20113	Illnesses of adopted mother	both_sexes	250
categorical	20113	Illnesses of adopted mother	both_sexes	851
categorical	20113	Illnesses of adopted mother	both_sexes	301
