phenocode	phenotype	category	num_cases	num_controls
AB1TUBERCU_MILIARY	Miliary tuberculosis	I Certain infectious and parasitic diseases (AB1_)	60	497285
AB1_ACTINOMYCOSIS	Actinomycosis	I Certain infectious and parasitic diseases (AB1_)	124	439048
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	197	444292
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)	260	488977
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)	334	497501
AB1_BACTINF_NOS	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	25506	439048
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3521	496827
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	7671	444292
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	5341	488977
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	2782	485458
AB1_CHOLERA	Cholera	I Certain infectious and parasitic diseases (AB1_)	1571	444292
AB1_DENGUE_FEVER	Dengue fever [classical dengue]	I Certain infectious and parasitic diseases (AB1_)	64	496577
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	5071	488977
AB1_DIBTHERIA	Diphtheria	I Certain infectious and parasitic diseases (AB1_)	54	439048
AB1_EARLY_SYPHILIS	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	394	485458
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	3838	486087
AB1_ENTEROBIASIS	Enterobiasis	I Certain infectious and parasitic diseases (AB1_)	145	499726
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	27918	439048
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	39997	444292
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	1163	485458
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	622	499726
AB1_HEPATITIS_A	Acute hepatitis A	I Certain infectious and parasitic diseases (AB1_)	148	497572
AB1_HEPATITIS_B	Acute hepatitis B	I Certain infectious and parasitic diseases (AB1_)	148	497572
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	4677	480316
AB1_HIV_INFECT_PARASITES	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic	I Certain infectious and parasitic diseases (AB1_)	78	499754
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	299	499754
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	56056	444292
AB1_LATE_SYPHILIS	Late syphilis	I Certain infectious and parasitic diseases (AB1_)	431	485458
AB1_LISTERIOSIS	Listeriosis	I Certain infectious and parasitic diseases (AB1_)	150	439048
AB1_LYME	Lyme disease	I Certain infectious and parasitic diseases (AB1_)	10516	489832
AB1_MALARIA	Malaria	I Certain infectious and parasitic diseases (AB1_)	170	499430
AB1_MALARIA_FALCIPARIUM	Plasmodium falciparum malaria	I Certain infectious and parasitic diseases (AB1_)	80	499430
AB1_MALARIA_NOS	Other parasitologically confirmed or unspecified malaria	I Certain infectious and parasitic diseases (AB1_)	75	499430
AB1_MEASLES	Measles	I Certain infectious and parasitic diseases (AB1_)	425	480316
AB1_MENINGOCOCCAL	Meningococcal infection	I Certain infectious and parasitic diseases (AB1_)	282	439048
AB1_MUMPS	Mumps	I Certain infectious and parasitic diseases (AB1_)	995	486087
AB1_MYCOSES	Mycoses	I Certain infectious and parasitic diseases (AB1_)	11371	488977
AB1_MYSOSIS_NOS	Other mycoses, not elsewhere classified/unspecified	I Certain infectious and parasitic diseases (AB1_)	99	488977
AB1_OTHER_BACTERIAL	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	61300	439048
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	346	496827
AB1_OTHER_CESTODE	Other cestode infections	I Certain infectious and parasitic diseases (AB1_)	121	499726
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	426	499922
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions	I Certain infectious and parasitic diseases (AB1_)	530	499754
AB1_OTHER_INFECTIONS	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)	3031	497317
AB1_OTHER_INFESTATIONS	Other infestations	I Certain infectious and parasitic diseases (AB1_)	71	498117
AB1_OTHER_MOSQUITO_FEVER	Other mosquito-borne viral fevers	I Certain infectious and parasitic diseases (AB1_)	75	496577
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria	I Certain infectious and parasitic diseases (AB1_)	534	439048
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases	I Certain infectious and parasitic diseases (AB1_)	497	444292
AB1_OTHER_SEPSIS	Other septicaemia	I Certain infectious and parasitic diseases (AB1_)	17133	439048
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	I Certain infectious and parasitic diseases (AB1_)	10678	489670
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	I Certain infectious and parasitic diseases (AB1_)	742	488977
AB1_OTHER_VIRAL	Other viral diseases	I Certain infectious and parasitic diseases (AB1_)	14261	486087
AB1_PARASITIC_NOS	Unspecified parasitic disease	I Certain infectious and parasitic diseases (AB1_)	286	498117
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	I Certain infectious and parasitic diseases (AB1_)	2231	498117
AB1_PEDICULOSIS_AND_PHTHIRIAASIS	Pediculosis and phthiriasis	I Certain infectious and parasitic diseases (AB1_)	109	498117
AB1_PNEUMOCYSTOSIS	Pneumocystosis	I Certain infectious and parasitic diseases (AB1_)	513	499430
AB1_POLIOMYELITIS	Acute poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	469	497501
AB1_PROTOZOAL	Protozoal diseases	I Certain infectious and parasitic diseases (AB1_)	918	499430
AB1_RELAP_FEVER	Relapsing fevers	I Certain infectious and parasitic diseases (AB1_)	74	489670
AB1_RESP_TUBERCU_CONF	Respiratory tuberculosis, confirmed	I Certain infectious and parasitic diseases (AB1_)	689	497285
AB1_RESP_TUBERCU_NONCONF	Respiratory tuberculosis, not confirmed	I Certain infectious and parasitic diseases (AB1_)	1638	497285
AB1_RICKETTSIOSES	Rickettsioses	I Certain infectious and parasitic diseases (AB1_)	61	500287
AB1_RUBELLA	Rubella [German measles]	I Certain infectious and parasitic diseases (AB1_)	1264	480316
AB1_SALMONELLA_OTH	Other salmonella infections	I Certain infectious and parasitic diseases (AB1_)	1411	444292
AB1_SCABIES	Scabies	I Certain infectious and parasitic diseases (AB1_)	1690	498117
AB1_SCARLET_FEVER	Scarlet fever	I Certain infectious and parasitic diseases (AB1_)	257	439048
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	2203	497160
AB1_SEQULAE_POLIO	Sequelae of poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	265	497160
AB1_SEQULAE_TUBERCU	Sequelae of tuberculosis	I Certain infectious and parasitic diseases (AB1_)	727	497160
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	3188	497160
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	I Certain infectious and parasitic diseases (AB1_)	14890	485458
AB1_SEXUAL_TRANSMISSION_NOS	Other predominantly sexually transmitted diseases, not elsewhere classified	I Certain infectious and parasitic diseases (AB1_)	7854	485458
AB1_SHIGELLOSIS	Shigellosis	I Certain infectious and parasitic diseases (AB1_)	109	444292
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	I Certain infectious and parasitic diseases (AB1_)	3239	439048
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other ch	I Certain infectious and parasitic diseases (AB1_)	195	496827
AB1_SYPHILIS	Syphilis	I Certain infectious and parasitic diseases (AB1_)	869	485458
AB1_SYPHILIS_NOS	Other and unspecified syphilis	I Certain infectious and parasitic diseases (AB1_)	87	485458
AB1_TICK_BORNE_ENCEPHALITIS	Tick-borne viral encephalitis	I Certain infectious and parasitic diseases (AB1_)	122	497501
AB1_TOXOPLASMOSIS	Toxoplasmosis	I Certain infectious and parasitic diseases (AB1_)	199	499430
AB1_TRICHOMONIASIS	Trichomoniasis	I Certain infectious and parasitic diseases (AB1_)	274	485458
AB1_TUBERCULOSIS	Tuberculosis, wide	I Certain infectious and parasitic diseases (AB1_)	3063	497285
AB1_TUBERCU_OTH_ORG	Tuberculosis of other organs, strict	I Certain infectious and parasitic diseases (AB1_)	881	497285
AB1_TULARAEMIA	Tularaemia	I Certain infectious and parasitic diseases (AB1_)	451	499698
AB1_TYPHOIDPARATHYPHOID	Typhoid and paratyphoid fevers	I Certain infectious and parasitic diseases (AB1_)	161	444292
AB1_VARICELLA	Varicella [chickenpox]	I Certain infectious and parasitic diseases (AB1_)	1808	480316
AB1_VIRAAL_CONJUNCT	Viral conjunctivitis	I Certain infectious and parasitic diseases (AB1_)	766	486087
AB1_VIRAL_CNS	Viral infections of the central nervous system	I Certain infectious and parasitic diseases (AB1_)	2847	497501
AB1_VIRAL_ENCEPHALITIS_NOS	Viral encephalitis, not elsewhere classified/unspecified	I Certain infectious and parasitic diseases (AB1_)	704	497501
AB1_VIRAL_HEMOR_FEVER_NOS	Viral haemorrhagic fevers, not elsewhere classified/unspecified	I Certain infectious and parasitic diseases (AB1_)	3042	496577
AB1_VIRAL_HEPATITIS	Viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	2776	497572
AB1_VIRAL_INOTHER	Viral agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	752	496827
AB1_VIRAL_MENINGITIS	Viral meningitis	I Certain infectious and parasitic diseases (AB1_)	1386	497501
AB1_VIRAL_NOS	Other viral diseases, not elsewhere classified	I Certain infectious and parasitic diseases (AB1_)	8325	486087
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	I Certain infectious and parasitic diseases (AB1_)	11050	444292
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	I Certain infectious and parasitic diseases (AB1_)	20032	480316
AB1_VIRAL_SKIN_NOS	Other viral infections characterized by skin and mucous membrane lesions, not el	I Certain infectious and parasitic diseases (AB1_)	1449	480316
AB1_VIRAL_WARTS	Viral warts	I Certain infectious and parasitic diseases (AB1_)	4044	480316
AB1_VIRAN_CNS_INFECTIONS_NOS	Viral infections of central nervous system, not elsewhere classified/unspecified	I Certain infectious and parasitic diseases (AB1_)	406	497501
AB1_WHOOPCOUGH	Whooping cough	I Certain infectious and parasitic diseases (AB1_)	222	439048
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	650	499698
AB1_ZOSTER	Zoster [herpes zoster]	I Certain infectious and parasitic diseases (AB1_)	7132	480316
ABDOM_HERNIA	Hernia of abdominal wall	XI Diseases of the digestive system (K11_)	21210	479138
ABDOM_HERNIA_POSTOP	Hernia of abdominal wall, postoperative	XI Diseases of the digestive system (K11_)	8152	277113
ABPA	Allergic bronchopulmonary aspergillosis (ABPA)	COPD and related endpoints	123	180057
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD	Acute drug-induced interstitial lung disorder	X Diseases of the respiratory system (J10_)	245	500103
AD_AM_EXMORE	Alzheimer’s disease (Atypical or mixed) (more control exclusions)	Neurological endpoints	3403	216472
AD_EO_EXMORE	Alzheimer’s disease (Early onset) (more control exclusions)	Neurological endpoints	1820	216472
AD_LO_EXMORE	Alzheimer’s disease (Late onset) (more control exclusions)	Neurological endpoints	9690	216472
AD_U_EXMORE	Alzheimer’s disease (undefined) (more control exclusions)	Neurological endpoints	502	216472
ALCODELIRIUM	Alcohol withdrawal state with delirium 	V Mental and behavioural disorders (F5_)	2605	497743
ALCOHOLACUTE10	Acute alcohol intoxication, ICD10	Alcohol related diseases	8774	489910
ALCOPANCACU	Alcohol-induced acute pancreatitis	Alcohol related diseases	1286	499062
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	Alcohol related diseases	2400	497948
ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone	Alcohol related diseases	3513	496835
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	Allergic contact dermatitis due to drugs in contact with skin	XII Diseases of the skin and subcutaneous tissue (L12_)	792	499556
ALLERG_ASTHMA	Allergic asthma (mode)	Asthma and related endpoints	13450	270290
ALLERG_RHINITIS	Allergic rhinitis	Comorbidities of Asthma	15569	474650
AMN2	Transient global amnesia	Neurological endpoints	3315	471699
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE	Anaphylactic shock due to adverse effect of correct drug or medication properly 	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	407	499941
ANOSMIA	Anosmia	Comorbidities of Neurological endpoints	980	111976
ANTIDEPRESSANTS	Depression medications	Comorbidities of Neurological endpoints	149403	111976
APPENDACUT_COMPLIC	Acute appendicitis, with complications	XI Diseases of the digestive system (K11_)	8921	458424
APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications	XI Diseases of the digestive system (K11_)	30012	458424
ARTHRO_SPEC	Other specific arthropathies, wide	Rheuma endpoints	811	374317
ARTRHO_POSTDYSENTERIC	Postdysenteric arthropathy	Rheuma endpoints	340	497416
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Asthma and related endpoints	22761	441248
ASTHMA_ALLERG	Asthma and allergy	Asthma and related endpoints	6883	267434
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)	Asthma and related endpoints	8402	259839
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	Comorbidities of Asthma	3565	441248
ASTHMA_INFECTIONS	Asthma-related infections	Asthma and related endpoints	31090	441248
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more control exclusions)	Asthma and related endpoints	2407	259839
ASTHMA_NAS	Asthma, unspecified (mode)	Asthma and related endpoints	30770	270290
ASTHMA_OBESITY	Obesity related asthma	Comorbidities of Asthma	15107	441248
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunity respiratory infection	Asthma and related endpoints	1606	441248
ASTHMA_PNEUMONIA	Asthma-related pneumonia	Asthma and related endpoints	16964	441248
AUD	Alcohol use disorder, ICD-based	V Mental and behavioural disorders (F5_)	20597	479751
AUD_SWEDISH	Alcohol use disorder, Swedish definition	Alcohol related diseases	28861	471487
AUTOHEP	Autoimmune hepatitis	XI Diseases of the digestive system (K11_)	264	372273
AUTOIMMUNE	Autoimmune diseases	Diseases marked as autimmune origin	128075	372273
AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	2469	370637
AUTOIMMUNE_NONTHYROID	Autoimmune diseases excluding thyroid diseases	Diseases marked as autimmune origin	70570	371089
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	2356	492689
BLEEDING	Bleeding	Miscellaneous, not yet classified endpoints	49027	451321
BMI_IRN	Body-mass index, inverse-rank normalized	Quantitative endpoints	500348	0
BRONCHITIS	Bronchitis	Asthma and related endpoints	77621	422727
C3_ADRENAL_GLAND_EXALLC	Malignant neoplasm of adrenal gland, excluding all cancers (controls excluding a	II Neoplasms, from cancer register (ICD-O-3)	242	378749
C3_ALL_EXALLC	Acute lymphocytic leukaemia, excluding all cancers (controls excluding all cance	II Neoplasms, from cancer register (ICD-O-3)	214	378748
C3_AML_EXALLC	Acute myeloid leukaemia, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	322	378747
C3_AML_MDS	Acute myeloid leukaemia and myelodysplastic syndromes	II Neoplasms, from cancer register (ICD-O-3)	602	499746
C3_AML_MDS_EXALLC	Acute myeloid leukaemia and myelodysplastic syndromes, excluding all cancers (co	II Neoplasms, from cancer register (ICD-O-3)	1249	378296
C3_ANUS_ANALCANAL_EXALLC	Malignant neoplasm of anus and anal canal, excluding all cancers (controls exclu	II Neoplasms, from cancer register (ICD-O-3)	405	378749
C3_ASTROCYTOMA_EXALLC	Brain astrocytoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	138	378749
C3_BASAL_CELL_CARCINOMA_EXALLC	Basal cell carcinoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	26272	378749
C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC	Basal cell carcinoma, including avohilmo, excluding all cancers (controls exclud	II Neoplasms, from cancer register (ICD-O-3)	27001	378270
C3_BILIARY_GALLBLADDER_EXALLC	Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excludi	II Neoplasms, from cancer register (ICD-O-3)	2298	378749
C3_BLADDER_EXALLC	Malignant neoplasm of bladder, excluding all cancers (controls excluding all can	II Neoplasms, from cancer register (ICD-O-3)	4852	378749
C3_BONE_CARTILAGE_EXALLC	Malignant neoplasm of bone and articular cartilage, excluding all cancers (contr	II Neoplasms, from cancer register (ICD-O-3)	648	378749
C3_BRAIN_EXALLC	Malignant neoplasm of brain, excluding all cancers (controls excluding all cance	II Neoplasms, from cancer register (ICD-O-3)	1894	378749
C3_BREAST_ERNEG_EXALLC	Malignant neoplasm of breast, ER-negative, excluding all cancers (controls exclu	II Neoplasms, from cancer register (ICD-O-3)	9724	221705
C3_BREAST_ERPLUS_EXALLC	Malignant neoplasm of breast, ER-positive, excluding all cancers (controls exclu	II Neoplasms, from cancer register (ICD-O-3)	14540	221705
C3_BREAST_EXALLC	Malignant neoplasm of breast, excluding all cancers (controls excluding all canc	II Neoplasms, from cancer register (ICD-O-3)	24270	222078
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung, excluding all cancers (controls excludi	II Neoplasms, from cancer register (ICD-O-3)	9639	378749
C3_CANCER_EXALLC	Malignant neoplasm, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	121495	378749
C3_CERVIX_ADENO_EXALLC	Adenocarcinomas of cervix, excluding all cancers (controls excluding all cancers	II Neoplasms, from cancer register (ICD-O-3)	142	222078
C3_CERVIX_SQUAM_EXALLC	Squamous cell neoplasms and carcinoma of cervix, excluding all cancers (controls	II Neoplasms, from cancer register (ICD-O-3)	222	222078
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri, excluding all cancers (controls excluding al	II Neoplasms, from cancer register (ICD-O-3)	878	222078
C3_CHONDROSARCOMA_EXALLC	Chondrosarcoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	158	378749
C3_CIRCULATING_LYMPHOID	Rare circulating lymphoid malignancy	II Neoplasms, from cancer register (ICD-O-3)	1044	499304
C3_CIRCULATING_LYMPHOID_EXALLC	Rare circulating lymphoid malignancy, excluding all cancers (controls excluding 	II Neoplasms, from cancer register (ICD-O-3)	1044	378749
C3_CLL_EXALLC	Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all canc	II Neoplasms, from cancer register (ICD-O-3)	935	378742
C3_CML_EXALLC	Chronic myeloid leukaemia, excluding all cancers (controls excluding all cancers	II Neoplasms, from cancer register (ICD-O-3)	303	378748
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	4478	378749
C3_COLON_EXALLC	Malignant neoplasm of colon, excluding all cancers (controls excluding all cance	II Neoplasms, from cancer register (ICD-O-3)	7698	378749
C3_COLORECTAL_ADENO_EXALLC	Colorectal adenocarcinoma, excluding all cancers (controls excluding all cancers	II Neoplasms, from cancer register (ICD-O-3)	7876	378749
C3_COLORECTAL_EXALLC	Colorectal cancer, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	11790	378749
C3_COLORECTAL_NEUROENDO_EXALLC	Colorectal neuroendocrine tumor and carcinoma, excluding all cancers (controls e	II Neoplasms, from cancer register (ICD-O-3)	473	378749
C3_CORPUS_UTERI_EXALLC	Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding al	II Neoplasms, from cancer register (ICD-O-3)	3490	222078
C3_DLBCL_EXALLC	Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all can	II Neoplasms, from cancer register (ICD-O-3)	1505	378749
C3_EPENDYDOMA_EXALLC	Ependymoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	57	378749
C3_EYE_ADNEXA_EXALLC	Malignant neoplasm of eye and adnexa, excluding all cancers (controls excluding 	II Neoplasms, from cancer register (ICD-O-3)	554	378749
C3_FIBROSARCOMA_EXALLC	Fibrosarcoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	280	378749
C3_GASTRINT_STROM_EXALLC	Gastrointestinal stromal tumor and sarcoma, excluding all cancers (controls excl	II Neoplasms, from cancer register (ICD-O-3)	351	378695
C3_GBM_ASTROCYTOMA_EXALLC	Brain glioblastoma and astrocytoma, excluding all cancers (controls excluding al	II Neoplasms, from cancer register (ICD-O-3)	544	378749
C3_GBM_EXALLC	Brain glioblastoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	406	378749
C3_HEAD_AND_NECK_EXALLC	Malignant neoplasm of head and neck, excluding all cancers (controls excluding a	II Neoplasms, from cancer register (ICD-O-3)	3942	378749
C3_HEPATOCELLU_CARC_EXALLC	Hepatocellular carcinoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	947	378749
C3_HYPOPHARYNX_EXALLC	Malignant neoplasm of hypopharynx, excluding all cancers (controls excluding all	II Neoplasms, from cancer register (ICD-O-3)	233	378749
C3_KAPOSI_SARCOMA_EXALLC	Kaposi sarcoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	53	378749
C3_KIDNEY_CHROMOPHOBE_EXALLC	Chromophobe cell carcinoma of kidney, excluding all cancers (controls excluding 	II Neoplasms, from cancer register (ICD-O-3)	153	378749
C3_KIDNEY_CLEAR_CELL_CARCINOMA_EXALLC	Clear cell adenocarcinoma of kidney, excluding all cancers (controls excluding a	II Neoplasms, from cancer register (ICD-O-3)	1499	378749
C3_KIDNEY_NOTRENALPELVIS_EXALLC	Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (contro	II Neoplasms, from cancer register (ICD-O-3)	3926	378749
C3_KIDNEY_PAPILLARYADENO_EXALLC	Adenocarcinoma and Papillary adenocarcinoma of kidney, excluding all cancers (co	II Neoplasms, from cancer register (ICD-O-3)	328	378749
C3_LEIOMYOSARCOMA_EXALLC	Leiomyosarcoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	306	378749
C3_LIPOSARCOMA_EXALLC	Liposarcoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	328	378749
C3_LIP_EXALLC	Malignant neoplasm of lip, excluding all cancers (controls excluding all cancers	II Neoplasms, from cancer register (ICD-O-3)	380	378749
C3_LUNG_NEUROENDO_EXALLC	Neuroendocrine tumor and carcinoma of lung, excluding all cancers (controls excl	II Neoplasms, from cancer register (ICD-O-3)	254	378749
C3_LUNG_NONSMALL_EXALLC	Non-small cell lung cancer, excluding all cancers (controls excluding all cancer	II Neoplasms, from cancer register (ICD-O-3)	6446	378749
C3_MACROGLOBULINEMIA_EXALLC	Waldenstrom macroglobulinemia, lymphoplasmacytic lymphoma, excluding all cancers	II Neoplasms, from cancer register (ICD-O-3)	230	378748
C3_MANTLE_CELL_LYMPHOMA_EXALLC	Mantle cell lymphoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	472	378749
C3_MARGINAL_ZONE_LYMPHOMA_EXALLC	Marginal zone B-cell lymphoma, excluding all cancers (controls excluding all can	II Neoplasms, from cancer register (ICD-O-3)	513	378749
C3_MELANOMA_EXALLC	Malignant melanoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	6925	378368
C3_MELANOMA_SKIN_EXALLC	Malignant melanoma of skin, excluding all cancers (controls excluding all cancer	II Neoplasms, from cancer register (ICD-O-3)	5753	378749
C3_MENINGES_EXALLC	Malignant neoplasm of meninges, excluding all cancers (controls excluding all ca	II Neoplasms, from cancer register (ICD-O-3)	127	378749
C3_MENINGIOMA_EXALLC	Brain meningioma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	1835	377674
C3_MESOTHELIOMA_EXALLC	Mesothelioma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	442	378749
C3_MULT_MYELOMA_EXALLC	Multiple myeloma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	1608	378739
C3_MYELODYSP_SYNDR_EXALLC	Myelodysplastic syndrome, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	979	378296
C3_MYELOMA_MONOCLONAL	Multiple myeloma, Monoclonal gammopathy of undetermined significance (MGUS)	II Neoplasms, from cancer register (ICD-O-3)	831	499517
C3_MYELOMA_MONOCLONAL_EXALLC	Multiple myeloma, Monoclonal gammopathy of undetermined significance (MGUS), exc	II Neoplasms, from cancer register (ICD-O-3)	2951	377997
C3_NASAL_CAVITY_SINUSES_EXALLC	Malignant neoplasm of nasal cavity and sinuses, excluding all cancers (controls 	II Neoplasms, from cancer register (ICD-O-3)	345	378749
C3_NASOPHARYNX_EXALLC	Malignant neoplasm of nasopharynx, excluding all cancers (controls excluding all	II Neoplasms, from cancer register (ICD-O-3)	152	378749
C3_NONHODGKIN_EXALLC	Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers	II Neoplasms, from cancer register (ICD-O-3)	5225	378749
C3_NSCLC_ADENO_EXALLC	Non-small cell lung cancer, adenocarcinoma, excluding all cancers (controls excl	II Neoplasms, from cancer register (ICD-O-3)	2219	378749
C3_NSCLC_SQUAM_EXALLC	Non-small cell lung cancer, squamous, excluding all cancers (controls excluding 	II Neoplasms, from cancer register (ICD-O-3)	1898	378749
C3_OESOPHAGUS_EXALLC	Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all 	II Neoplasms, from cancer register (ICD-O-3)	1277	378749
C3_ORALCAVITY_EXALLC	Malignant neoplasm of oral cavity, excluding all cancers (controls excluding all	II Neoplasms, from cancer register (ICD-O-3)	1614	378749
C3_OROPHARYNG_EXALLC	Malignant neoplasm of oropharynx, excluding all cancers (controls excluding all 	II Neoplasms, from cancer register (ICD-O-3)	164	378749
C3_OSTEOSARCOMA_EXALLC	Osteosarcoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	132	378749
