phenocode	phenotype	category	num_cases	num_controls
DRUGADVERS_ADRENOCORTICAL_INSUFFICIENCY	Drug-induced adrenocortical insufficiency	IV Endocrine, nutritional and metabolic diseases (E4_)	581	499767
DRUGADVERS_APLAST_ANAEM	Drug-induced aplastic anaemia	III Diseases of the blood and blood-forming organs and certain disorders involvi	51	500297
DRUGADVERS_CATAR	Drug-induced cataract	VII Diseases of the eye and adnexa (H7_)	802	499546
DRUGADVERS_DYSTON	Drug-induced dystonia	VI Diseases of the nervous system (G6_)	106	500242
DRUGADVERS_GOUT	Drug-induced gout	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	154	500194
DRUGADVERS_HEADA_NOT_ELSEW_CLASSIFIED	Drug-induced headache, not elsewhere classified	VI Diseases of the nervous system (G6_)	186	500162
DRUGADVERS_INTERSTITIAL_LUNG_DISORD_UNSPE	Drug-induced interstitial lung disorders, unspecified	X Diseases of the respiratory system (J10_)	58	500290
DRUGADVERS_NEUTROPENIA	Drug-induced neutropenia	III Diseases of the blood and blood-forming organs and certain disorders involvi	2547	497801
DRUGADVERS_OSTEOPO	Drug-induced osteoporosis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	389	499959
DRUGADVERS_SYSTEMIC_LUPUS_ERYTHEMAT	Drug-induced systemic lupus erythematosus	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	234	500114
DRUGADVERS_TREMOR	Drug-induced tremor	VI Diseases of the nervous system (G6_)	202	500146
DRY_AMD	Dry age-related macular degeneration (includes geographic atrophy)	VII Diseases of the eye and adnexa (H7_)	8570	329258
DUODENAL_ULCER_ACUTE_W_HAEMORRHAGE	Duodenal ulcer - Acute with haemorrhage, drug-induced	XI Diseases of the digestive system (K11_)	57	500291
DUODENAL_ULCER_UNSPE_ACUTE_CHRONIC_WO_HAEMORRHAGE_PERFORATION	Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perfora	XI Diseases of the digestive system (K11_)	132	500216
E4_ACIDOSIS	Acidosis	IV Endocrine, nutritional and metabolic diseases (E4_)	670	420066
E4_ACROMEG	Acromegaly and pituitary gigantism	IV Endocrine, nutritional and metabolic diseases (E4_)	235	479069
E4_ADDISON	Adrenocortical insufficiency	IV Endocrine, nutritional and metabolic diseases (E4_)	1267	479069
E4_ADREACT	Other adrenocortical overactivity	IV Endocrine, nutritional and metabolic diseases (E4_)	207	479069
E4_ADREMEDHYPER	Adrenomedullary hyperfunction	IV Endocrine, nutritional and metabolic diseases (E4_)	100	479069
E4_ADRENAS	Disorders of adrenal gland, other and/or unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	167	479069
E4_ADRENOGEN	Adrenogenital disorders	IV Endocrine, nutritional and metabolic diseases (E4_)	154	479069
E4_ALKALOSIS	Alkalosis	IV Endocrine, nutritional and metabolic diseases (E4_)	79	420066
E4_AMINO	Other disorders of amino-acid metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)	163	420066
E4_AMINOTRANSPORT	Disorders of amino-acid transport	IV Endocrine, nutritional and metabolic diseases (E4_)	59	420066
E4_AMYLNAS	Amyloidosis, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	573	420066
E4_AMYL_ORGAN	Organ-limited amyloidosis	IV Endocrine, nutritional and metabolic diseases (E4_)	133	420066
E4_AMYL_SCNDSYST	Secondary systemic amyloidosis	IV Endocrine, nutritional and metabolic diseases (E4_)	103	420066
E4_ANTIDIU	Syndrome of inappropriate secretion of antidiuretic hormone	IV Endocrine, nutritional and metabolic diseases (E4_)	169	479069
E4_AROMAMINO	Disorders of aromatic amino-acid metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)	111	420066
E4_ATROTHY	Atrophy of thyroid (acquired)	IV Endocrine, nutritional and metabolic diseases (E4_)	50	424208
E4_AUTOPOLYFAI	Autoimmune polyglandular failure	IV Endocrine, nutritional and metabolic diseases (E4_)	51	479069
E4_CARBO	Other disorders of carbohydrate metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)	167	420066
E4_CARBONAS	Disorder of carbohydrate metabolism, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	116	420066
E4_CARCISDR	Carcinoid syndrome	IV Endocrine, nutritional and metabolic diseases (E4_)	305	479069
E4_CONGEIOD	Congenital iodine-deficiency syndrome/hypothyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	1101	424208
E4_CUSHING	Cushing syndrome	IV Endocrine, nutritional and metabolic diseases (E4_)	391	479069
E4_DELPUB	Delayed puberty	IV Endocrine, nutritional and metabolic diseases (E4_)	310	479069
E4_DIABINSIPIDUS	Diabetes insipidus	IV Endocrine, nutritional and metabolic diseases (E4_)	315	479069
E4_DISPUB	Disorders of puberty	IV Endocrine, nutritional and metabolic diseases (E4_)	585	479069
E4_DYSPOLYGL	Polyglandular dysfunction	IV Endocrine, nutritional and metabolic diseases (E4_)	87	479069
E4_ENDINOTH	Disorders of endocrine glands in diseases classified elsewhere	IV Endocrine, nutritional and metabolic diseases (E4_)	61	479069
E4_ENDODIS	Other endocrine disorders	IV Endocrine, nutritional and metabolic diseases (E4_)	2056	479069
E4_ENDODISNAS	Endocrine disorders, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	721	479069
E4_ENDOGLAND	Disorders of other endocrine glands	IV Endocrine, nutritional and metabolic diseases (E4_)	21279	479069
E4_ENDOMETPOSTOP	Postprocedural endocrine and metabolic disorders, not elsewhere classified	IV Endocrine, nutritional and metabolic diseases (E4_)	5016	420066
E4_FE_DEF	Iron deficiency	IV Endocrine, nutritional and metabolic diseases (E4_)	787	467142
E4_FH	Familial hypercholesterolemia	IV Endocrine, nutritional and metabolic diseases (E4_)	6545	420066
E4_FH_IHD	Familial hypercholesterolemia, with ischemic heart disease	IV Endocrine, nutritional and metabolic diseases (E4_)	3596	416260
E4_FLUIDELECTRO	Other disorders of fluid, electrolyte and acid-base balance	IV Endocrine, nutritional and metabolic diseases (E4_)	13550	420066
E4_FLUIDELECTRONAS	Other disorders of electrolyte and fluid balance, not elsewhere classified	IV Endocrine, nutritional and metabolic diseases (E4_)	307	420066
E4_FLUIDOVER	Fluid overload	IV Endocrine, nutritional and metabolic diseases (E4_)	96	420066
E4_GILBERT	Gilbert syndrome	IV Endocrine, nutritional and metabolic diseases (E4_)	259	420066
E4_GLUCOPANCREAS	Other disorders of glucose regulation and pancreatic internal secretion	IV Endocrine, nutritional and metabolic diseases (E4_)	3387	496961
E4_GOITREDIFF	Nontoxic diffuse goitre	IV Endocrine, nutritional and metabolic diseases (E4_)	1147	424208
E4_GOITREMULTINOD	Nontoxic multinodular goitre	IV Endocrine, nutritional and metabolic diseases (E4_)	8337	424208
E4_GOITRENAS	Other and/or unspecified nontoxic goitre	IV Endocrine, nutritional and metabolic diseases (E4_)	3151	424208
E4_GOITRENOD	Nontoxic single thyroid nodule	IV Endocrine, nutritional and metabolic diseases (E4_)	2775	424208
E4_GRAVES_OPHT_STRICT	Graves ophthalmopathy, strict	IV Endocrine, nutritional and metabolic diseases (E4_)	753	499595
E4_GRAVES_STRICT	Graves disease, strict definition	IV Endocrine, nutritional and metabolic diseases (E4_)	3962	496386
E4_HYPERALDO	Hyperaldosteronism	IV Endocrine, nutritional and metabolic diseases (E4_)	931	479069
E4_HYPERALI	Other hyperalimentation	IV Endocrine, nutritional and metabolic diseases (E4_)	107	468693
E4_HYPERALISEQ	Sequelae of hyperalimentation	IV Endocrine, nutritional and metabolic diseases (E4_)	56	468693
E4_HYPERCHOL	Pure hypercholesterolaemia	IV Endocrine, nutritional and metabolic diseases (E4_)	42985	420066
E4_HYPERCHYLO	Hyperchylomicronaemia	IV Endocrine, nutritional and metabolic diseases (E4_)	70	420066
E4_HYPERGLYCER	Pure hyperglyceridaemia	IV Endocrine, nutritional and metabolic diseases (E4_)	789	420066
E4_HYPERKALAEMIA	Hyperkalaemia	IV Endocrine, nutritional and metabolic diseases (E4_)	2019	420066
E4_HYPERLIPMIX	Mixed hyperlipidaemia	IV Endocrine, nutritional and metabolic diseases (E4_)	1495	420066
E4_HYPERLIPNAS	Hyperlipidaemia, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	17615	420066
E4_HYPEROSMHNAT	Hyperosmolality and hypernatraemia	IV Endocrine, nutritional and metabolic diseases (E4_)	455	420066
E4_HYPERPARA	Hyperparathyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	7591	479069
E4_HYPERPIT	Hyperfunction of pituitary gland	IV Endocrine, nutritional and metabolic diseases (E4_)	1917	479069
E4_HYPERPITNAS	Hyperfunction of pituitary gland, other and/or unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	58	479069
E4_HYPERPRO	Hyperprolactinaemia	IV Endocrine, nutritional and metabolic diseases (E4_)	1330	479069
E4_HYPERPRO_ADVERSE	Hyperprolactinaemia, drug-induced	IV Endocrine, nutritional and metabolic diseases (E4_)	196	500152
E4_HYPERURI	Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease	IV Endocrine, nutritional and metabolic diseases (E4_)	157	420066
E4_HYPOCOMA	Nondiabetic hypoglycaemic coma	IV Endocrine, nutritional and metabolic diseases (E4_)	143	496961
E4_HYPODRUG	Drug-induced hypoglycaemia without coma	IV Endocrine, nutritional and metabolic diseases (E4_)	575	496961
E4_HYPOKALAEMIA	Hypokalaemia	IV Endocrine, nutritional and metabolic diseases (E4_)	4638	420066
E4_HYPOOSMNAT	Hypo-osmolality and hyponatraemia	IV Endocrine, nutritional and metabolic diseases (E4_)	7130	420066
E4_HYPOPARA	Hypoparathyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	1249	479069
E4_HYPOPIT	Hypopituitarism	IV Endocrine, nutritional and metabolic diseases (E4_)	2665	479069
E4_HYPOTHALDYSF	Hypothalamic dysfunction, including iatrogenic, not elsewhere classified	IV Endocrine, nutritional and metabolic diseases (E4_)	67	479069
E4_HYTHYPOSTINF	Postinfectious hypothyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	199	424208
E4_HYTHYSUBS	Hypothyroidism due to medicaments and other exogenous substances	IV Endocrine, nutritional and metabolic diseases (E4_)	367	424208
E4_HYTHY_AI_DX	Hypothyroidism, autoimmune, DX-based	IV Endocrine, nutritional and metabolic diseases (E4_)	133	499660
E4_HYTHY_AI_STRICT	Hypothyroidism, strict autoimmune	IV Endocrine, nutritional and metabolic diseases (E4_)	54752	362639
E4_IRON_MET	Disorders of iron metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)	477	420066
E4_KWASHIORKOR	Kwashiorkor	IV Endocrine, nutritional and metabolic diseases (E4_)	53	499678
E4_LACTOCON	Congenital lactase deficiency	IV Endocrine, nutritional and metabolic diseases (E4_)	84	420066
E4_LACTONAS	Lactose intolerance, other/unspecified	IV Endocrine, nutritional and metabolic diseases (E4_)	1020	420066
E4_LIPODEF	Lipoprotein deficiency	IV Endocrine, nutritional and metabolic diseases (E4_)	68	420066
E4_LIPODYST	Lipodystrophy, not elsewhere classified	IV Endocrine, nutritional and metabolic diseases (E4_)	51	420066
