pgs_id	name	trait	n_variants	ftp_scoring_file
PGS000001	PRS77_BC	Breast cancer	77	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000001/ScoringFiles/PGS000001.txt.gz
PGS000002	PRS77_ERpos	ER-positive breast cancer	77	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000002/ScoringFiles/PGS000002.txt.gz
PGS000003	PRS77_ERneg	ER-negative breast cancer	77	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000003/ScoringFiles/PGS000003.txt.gz
PGS000004	PRS313_BC	Breast cancer	313	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000004/ScoringFiles/PGS000004.txt.gz
PGS000005	PRS313_ERpos	ER-positive breast cancer	313	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000005/ScoringFiles/PGS000005.txt.gz
PGS000006	PRS313_ERneg	ER-negative breast cancer	313	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000006/ScoringFiles/PGS000006.txt.gz
PGS000007	PRS3820_BC	Breast cancer	3820	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000007/ScoringFiles/PGS000007.txt.gz
PGS000008	PRS3820_ERpos	ER-positive breast cancer	3820	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000008/ScoringFiles/PGS000008.txt.gz
PGS000009	PRS3820_ERneg	ER-negative breast cancer	3820	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000009/ScoringFiles/PGS000009.txt.gz
PGS000010	GRS27	Coronary heart disease	27	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000010/ScoringFiles/PGS000010.txt.gz
PGS000011	GRS50	Coronary artery disease	50	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000011/ScoringFiles/PGS000011.txt.gz
PGS000012	GRS49K	Coronary artery disease	49310	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000012/ScoringFiles/PGS000012.txt.gz
PGS000013	GPS_CAD	Coronary artery disease	6630150	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000013/ScoringFiles/PGS000013.txt.gz
PGS000014	GPS_T2D	Type 2 diabetes (T2D)	6917436	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000014/ScoringFiles/PGS000014.txt.gz
PGS000015	GPS_BC	Breast cancer	5218	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000015/ScoringFiles/PGS000015.txt.gz
PGS000016	GPS_AF	Atrial fibrillation	6730541	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000016/ScoringFiles/PGS000016.txt.gz
PGS000017	GPS_IBD	Inflammatory bowel disease	6907112	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000017/ScoringFiles/PGS000017.txt.gz
PGS000018	metaGRS_CAD	Coronary artery disease	1745179	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000018/ScoringFiles/PGS000018.txt.gz
PGS000019	GRS_CAD	Coronary artery disease	192	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000019/ScoringFiles/PGS000019.txt.gz
PGS000020	dGRS1000	Type 2 diabetes (T2D)	7502	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000020/ScoringFiles/PGS000020.txt.gz
PGS000021	GRS1	Type 1 diabetes (T1D)	33	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000021/ScoringFiles/PGS000021.txt.gz
PGS000022	T1D_GRS	Type 1 diabetes (T1D)	37	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000022/ScoringFiles/PGS000022.txt.gz
PGS000023	AA_GRS	Type 1 diabetes (T1D)	7	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000023/ScoringFiles/PGS000023.txt.gz
PGS000024	GRS2	Type 1 diabetes (T1D)	85	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000024/ScoringFiles/PGS000024.txt.gz
PGS000025	GRS	Alzheimer's disease	19	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000025/ScoringFiles/PGS000025.txt.gz
PGS000026	PHS	Alzheimer's disease	33	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000026/ScoringFiles/PGS000026.txt.gz
PGS000027	GPS_BMI	Body mass index (BMI)	2100302	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000027/ScoringFiles/PGS000027.txt.gz
PGS000028	PRS	Breast cancer	83	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000028/ScoringFiles/PGS000028.txt.gz
PGS000029	PRS_AS	Breast cancer	76	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000029/ScoringFiles/PGS000029.txt.gz
PGS000030	PrCa	Prostate cancer	147	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000030/ScoringFiles/PGS000030.txt.gz
PGS000031	GRSt	Type 2 diabetes (T2D)	62	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000031/ScoringFiles/PGS000031.txt.gz
PGS000032	GRSB	Type 2 diabetes (based on SNPs involved in β-cell function)	20	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000032/ScoringFiles/PGS000032.txt.gz
PGS000033	GRSIR	Type 2 diabetes (based on SNPs involved in insulin resistance)	10	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000033/ScoringFiles/PGS000033.txt.gz
PGS000034	GRS_BMI	Adult body mass index (BMI)	97	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000034/ScoringFiles/PGS000034.txt.gz
PGS000035	PRS_AF	Atrial fibrillation	1168	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000035/ScoringFiles/PGS000035.txt.gz
PGS000036	gePS_T2D	Type 2 diabetes (T2D)	171249	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000036/ScoringFiles/PGS000036.txt.gz
PGS000037	PGS_AST	Asthma	15	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000037/ScoringFiles/PGS000037.txt.gz
PGS000038	PRS90	Stroke	90	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000038/ScoringFiles/PGS000038.txt.gz
PGS000039	metaGRS_ischaemicstroke	Ischemic stroke	3225583	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000039/ScoringFiles/PGS000039.txt.gz
PGS000040	GRS_CeD	Coeliac disease	228	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000040/ScoringFiles/PGS000040.txt.gz
PGS000041	GRS-DQ2.5-CeD	Coeliac disease	2513	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000041/ScoringFiles/PGS000041.txt.gz
PGS000042	GRS-DQ2.5-CeD-imputed	Coeliac disease	3317	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000042/ScoringFiles/PGS000042.txt.gz
PGS000043	PRS_VTE	Venous thromboembolism	297	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000043/ScoringFiles/PGS000043.txt.gz
PGS000044	PrCa66	Prostate cancer	66	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000044/ScoringFiles/PGS000044.txt.gz
PGS000045	BCPRS_Overall	Breast cancer	88	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000045/ScoringFiles/PGS000045.txt.gz
PGS000046	BCPRS_ER+	Estrogen receptor [ER]-positive breast cancer	87	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000046/ScoringFiles/PGS000046.txt.gz
PGS000047	BCPRS_ER-	Estrogen receptor [ER]-negative breast cancer	53	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000047/ScoringFiles/PGS000047.txt.gz
PGS000048	OCPRS_Overall	Ovarian cancer	17	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000048/ScoringFiles/PGS000048.txt.gz
PGS000049	PRS103_PrCa	Prostate cancer	103	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000049/ScoringFiles/PGS000049.txt.gz
PGS000050	PRS44	Breast cancer	44	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000050/ScoringFiles/PGS000050.txt.gz
PGS000051	PRS67	Breast cancer	67	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000051/ScoringFiles/PGS000051.txt.gz
PGS000052	sPRS161	Breast cancer	161	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000052/ScoringFiles/PGS000052.txt.gz
PGS000053	ALZ21_NIA-LOAD	Alzheimer's disease (late onset)	21	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000053/ScoringFiles/PGS000053.txt.gz
PGS000054	ALZ21_EFIGA	Alzheimer's disease (late onset)	21	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000054/ScoringFiles/PGS000054.txt.gz
PGS000055	PRS_CRC	Colorectal cancer	76	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000055/ScoringFiles/PGS000055.txt.gz
PGS000056	PD_PRS	Parkinson's disease	23	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000056/ScoringFiles/PGS000056.txt.gz
PGS000057	CHD57	Coronary heart disease	57	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000057/ScoringFiles/PGS000057.txt.gz
PGS000058	CAD_GRS_204	Coronary artery disease	204	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000058/ScoringFiles/PGS000058.txt.gz
PGS000059	CHD46	Coronary heart disease	46	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000059/ScoringFiles/PGS000059.txt.gz
PGS000060	GRS_HDL	HDL cholesterol	46	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000060/ScoringFiles/PGS000060.txt.gz
PGS000061	GRS_LDL	Low-density lipoprotein (LDL) cholesterol	37	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000061/ScoringFiles/PGS000061.txt.gz
PGS000062	GRS_TC	Total cholesterol	52	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000062/ScoringFiles/PGS000062.txt.gz
PGS000063	GRS_TG	Triglycerides	32	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000063/ScoringFiles/PGS000063.txt.gz
PGS000064	GLGC2017_HDL	HDL cholesterol	120	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000064/ScoringFiles/PGS000064.txt.gz
PGS000065	GLGC2017_LDL	LDL cholesterol	103	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000065/ScoringFiles/PGS000065.txt.gz
PGS000066	GLGC2017_TG	Triglycerides (TG)	101	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000066/ScoringFiles/PGS000066.txt.gz
PGS000067	PCa_PHS	Prostate cancer	54	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000067/ScoringFiles/PGS000067.txt.gz
PGS000068	PRS_EOC	Epithelial ovarian cancer	15	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000068/ScoringFiles/PGS000068.txt.gz
PGS000069	PRS_sEOC	Serous epithelial ovarian cancer	15	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000069/ScoringFiles/PGS000069.txt.gz
PGS000070	PRS_LC_C	Lung cancer	19	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000070/ScoringFiles/PGS000070.txt.gz
PGS000071	CC_Bladder	Bladder cancer	15	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000071/ScoringFiles/PGS000071.txt.gz
PGS000072	CC_Breast	Breast cancer	187	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000072/ScoringFiles/PGS000072.txt.gz
PGS000073	CC_Cervix	Cervical cancer	10	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000073/ScoringFiles/PGS000073.txt.gz
PGS000074	CC_Colorectal	Colorectal cancer	103	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000074/ScoringFiles/PGS000074.txt.gz
PGS000075	CC_Endo	Endometrial cancer	9	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000075/ScoringFiles/PGS000075.txt.gz
PGS000076	CC_Kidney	Kidney cancer	19	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000076/ScoringFiles/PGS000076.txt.gz
PGS000077	CC_LL	Lymphocytic leukemia	75	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000077/ScoringFiles/PGS000077.txt.gz
PGS000078	CC_Lung	Lung cancer	109	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000078/ScoringFiles/PGS000078.txt.gz
PGS000079	CC_Melanoma	Melanoma	24	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000079/ScoringFiles/PGS000079.txt.gz
PGS000080	CC_NHL	Non-Hodgkin's lymphoma	19	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000080/ScoringFiles/PGS000080.txt.gz
PGS000081	CC_Oral	Oral cavity and pharyngeal cancers	14	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000081/ScoringFiles/PGS000081.txt.gz
PGS000082	CC_Ovary	Ovarian cancer	36	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000082/ScoringFiles/PGS000082.txt.gz
PGS000083	CC_Pancreas	Pancreatic cancer	22	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000083/ScoringFiles/PGS000083.txt.gz
PGS000084	CC_Prostate	Prostate cancer	161	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000084/ScoringFiles/PGS000084.txt.gz
PGS000086	CC_Testis	Testicular cancer	52	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000086/ScoringFiles/PGS000086.txt.gz
PGS000087	CC_Thyroid	Thyroid cancer	12	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000087/ScoringFiles/PGS000087.txt.gz
PGS000088	baso	Basophil count	9121	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000088/ScoringFiles/PGS000088.txt.gz
PGS000089	baso_p	Basophil percentage of white cells	5248	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000089/ScoringFiles/PGS000089.txt.gz
PGS000090	eo	Eosinophil count	22949	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000090/ScoringFiles/PGS000090.txt.gz
PGS000091	eo_p	Eosinophil percentage of white cells	24406	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000091/ScoringFiles/PGS000091.txt.gz
PGS000092	hct	Hematocrit	28214	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000092/ScoringFiles/PGS000092.txt.gz
PGS000093	hgb	Hemoglobin concentration	25090	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000093/ScoringFiles/PGS000093.txt.gz
PGS000094	hlr	High light scatter reticulocyte count	25493	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000094/ScoringFiles/PGS000094.txt.gz
PGS000095	hlr_p	High light scatter reticulocyte percentage of red cells	21957	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000095/ScoringFiles/PGS000095.txt.gz
PGS000096	irf	Immature fraction of reticulocytes	17850	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000096/ScoringFiles/PGS000096.txt.gz
PGS000097	lymph	Lymphocyte count	24646	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000097/ScoringFiles/PGS000097.txt.gz
PGS000098	lymph_p	Lymphocyte percentage of white cells	22363	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000098/ScoringFiles/PGS000098.txt.gz
PGS000099	mch	Mean corpuscular hemoglobin	27081	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000099/ScoringFiles/PGS000099.txt.gz
PGS000100	mchc	Mean corpuscular hemoglobin concentration	11832	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000100/ScoringFiles/PGS000100.txt.gz
PGS000101	mcv	Mean corpuscular volume	25001	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000101/ScoringFiles/PGS000101.txt.gz
PGS000102	mono	Monocyte count	28162	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000102/ScoringFiles/PGS000102.txt.gz
PGS000103	mono_p	Monocyte percentage of white cells	22843	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000103/ScoringFiles/PGS000103.txt.gz
PGS000104	mpv	Mean platelet volume	25745	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000104/ScoringFiles/PGS000104.txt.gz
PGS000105	neut	Neutrophil count	23864	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000105/ScoringFiles/PGS000105.txt.gz
PGS000106	neut_p	Neutrophil percentage of white cells	22049	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000106/ScoringFiles/PGS000106.txt.gz
PGS000107	pct	Platelet crit	30459	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000107/ScoringFiles/PGS000107.txt.gz
PGS000108	pdw	Platelet distribution width	25995	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000108/ScoringFiles/PGS000108.txt.gz
PGS000109	plt	Platelet count	26683	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000109/ScoringFiles/PGS000109.txt.gz
PGS000110	rbc	Red blood cell count	23242	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000110/ScoringFiles/PGS000110.txt.gz
PGS000111	ret	Reticulocyte count	26077	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000111/ScoringFiles/PGS000111.txt.gz
PGS000112	ret_p	Reticulocyte fraction of red cells	25939	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000112/ScoringFiles/PGS000112.txt.gz
PGS000113	wbc	White blood cell count	28383	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000113/ScoringFiles/PGS000113.txt.gz
PGS000114	GRS-JIA-20	Juvenile Idiopathic Arthritis	26	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000114/ScoringFiles/PGS000114.txt.gz
PGS000115	LDL-C_20	LDL cholesterol	223	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000115/ScoringFiles/PGS000115.txt.gz
PGS000116	CAD_EJ2020	Coronary artery disease	40079	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000116/ScoringFiles/PGS000116.txt.gz
PGS000117	CVD_EJ2020	Cardiovascular disease	297862	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000117/ScoringFiles/PGS000117.txt.gz
PGS000118	MEL29	Melanoma	29	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000118/ScoringFiles/PGS000118.txt.gz
PGS000119	BCC32	Basal cell carcinoma	32	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000119/ScoringFiles/PGS000119.txt.gz
PGS000120	SCC10	Squamous cell carcinoma	10	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000120/ScoringFiles/PGS000120.txt.gz
PGS000121	2018_BMD62_GRS.FN	Bone mineral density (BMD)	62	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000121/ScoringFiles/PGS000121.txt.gz
PGS000122	2018_BMD33_GRS.FN	Bone mineral density (BMD)	33	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000122/ScoringFiles/PGS000122.txt.gz
PGS000123	2017_PD16	Parkinson's disease	16	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000123/ScoringFiles/PGS000123.txt.gz
PGS000124	IOP_AS	Intraocular pressure	103	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000124/ScoringFiles/PGS000124.txt.gz
PGS000125	Qi_T2D_2017	Type 2 diabetes (T2D)	80	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000125/ScoringFiles/PGS000125.txt.gz
PGS000126	Urate_GRS	Serum urate	114	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000126/ScoringFiles/PGS000126.txt.gz
PGS000127	GS-E-EUR	HbA1c	21	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000127/ScoringFiles/PGS000127.txt.gz
PGS000128	GS-E-AFR	HbA1c	22	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000128/ScoringFiles/PGS000128.txt.gz
PGS000129	GS-E-EAS	HbA1c	17	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000129/ScoringFiles/PGS000129.txt.gz
PGS000130	GS-G-EUR	HbA1c	19	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000130/ScoringFiles/PGS000130.txt.gz
PGS000131	GS-G-AFR	HbA1c	19	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000131/ScoringFiles/PGS000131.txt.gz
PGS000132	GS-G-EAS	HbA1c	19	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000132/ScoringFiles/PGS000132.txt.gz
PGS000133	SCZ_BVU	Schizophrenia	604645	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000133/ScoringFiles/PGS000133.txt.gz
PGS000134	SCZ_GHS	Schizophrenia	830589	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000134/ScoringFiles/PGS000134.txt.gz
PGS000135	SCZ_MTS	Schizophrenia	972439	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000135/ScoringFiles/PGS000135.txt.gz
PGS000136	SCZ_PBK	Schizophrenia	833502	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000136/ScoringFiles/PGS000136.txt.gz
PGS000137	MTAG_glaucoma	Glaucoma	2673	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000137/ScoringFiles/PGS000137.txt.gz
PGS000138	LifetimeMDD	Lifetime Major Depressive Disorder	22274	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000138/ScoringFiles/PGS000138.txt.gz
PGS000139	MDDRecur	Lifetime Major Depressive Disorder (with recurrence)	21980	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000139/ScoringFiles/PGS000139.txt.gz
PGS000140	GPpsy	Broad Depression (seen a General Practitioner for nerves, anxiety, tension or de	24665	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000140/ScoringFiles/PGS000140.txt.gz
PGS000141	Psypsy	Seen a psychiatrist for nerves, anxiety, tension or depression	22728	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000141/ScoringFiles/PGS000141.txt.gz
PGS000142	DepAll	Probable Depression (low mood or anhedonia, and seen a GP or psychiatrist for ne	21908	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000142/ScoringFiles/PGS000142.txt.gz
PGS000143	GPNoDep	Seen a General Practitioner for nerves, anxiety, tension or depression (without 	21042	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000143/ScoringFiles/PGS000143.txt.gz
PGS000144	SelfRepDep	Self-reported depression or depression symptoms	21828	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000144/ScoringFiles/PGS000144.txt.gz
PGS000145	ICD10Dep	Depression (ICD-10 defined)	21510	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000145/ScoringFiles/PGS000145.txt.gz
PGS000146	CRC_GRS_27	Colorectal cancer	27	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000146/ScoringFiles/PGS000146.txt.gz
PGS000147	CRC21	Colorectal cancer	21	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000147/ScoringFiles/PGS000147.txt.gz
PGS000148	CRC63	Colorectal cancer	63	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000148/ScoringFiles/PGS000148.txt.gz
PGS000149	CRC41	Colorectal cancer	41	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000149/ScoringFiles/PGS000149.txt.gz
PGS000150	GRS48	Colorectal cancer	48	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000150/ScoringFiles/PGS000150.txt.gz
PGS000151	SC_GRS	Colorectal cancer	14	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000151/ScoringFiles/PGS000151.txt.gz
PGS000152	cGRS_Bladder	Bladder cancer	10	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000152/ScoringFiles/PGS000152.txt.gz
PGS000153	cGRS_Breast	Breast cancer	66	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000153/ScoringFiles/PGS000153.txt.gz
PGS000154	cGRS_Colorectal	Colorectal cancer	30	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000154/ScoringFiles/PGS000154.txt.gz
PGS000155	cGRS_Glioma	Glioma	19	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000155/ScoringFiles/PGS000155.txt.gz
PGS000156	cGRS_Lung	Lung cancer	6	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000156/ScoringFiles/PGS000156.txt.gz
PGS000157	cGRS_Melanoma	Melanoma	17	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000157/ScoringFiles/PGS000157.txt.gz
PGS000158	cGRS_Ovarian	Ovarian cancer	11	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000158/ScoringFiles/PGS000158.txt.gz
PGS000159	cGRS_Pancreatic	Pancreatic cancer	9	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000159/ScoringFiles/PGS000159.txt.gz
PGS000160	cGRS_Prostate	Prostate cancer	79	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000160/ScoringFiles/PGS000160.txt.gz
PGS000161	cGRS_Renal	Renal cancer	10	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000161/ScoringFiles/PGS000161.txt.gz
PGS000162	cGRS_Thyroid	Thyroid cancer	6	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000162/ScoringFiles/PGS000162.txt.gz
PGS000163	baso	Basophil count	185	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000163/ScoringFiles/PGS000163.txt.gz
PGS000164	baso_p	Basophil percentage of white cells	150	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000164/ScoringFiles/PGS000164.txt.gz
PGS000165	eo	Eosinophil count	607	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000165/ScoringFiles/PGS000165.txt.gz
PGS000166	eo_p	Eosinophil percentage of white cells	571	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000166/ScoringFiles/PGS000166.txt.gz
