pgs_id	name	trait	n_variants	ftp_scoring_file
PGS002339	blood_MEAN_CORPUSCULAR_HEMOGLOBIN.BOLT-LMM	Mean corpuscular hemoglobin	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002339/ScoringFiles/PGS002339.txt.gz
PGS002340	blood_MEAN_PLATELET_VOL.BOLT-LMM	Mean platelet volume	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002340/ScoringFiles/PGS002340.txt.gz
PGS002341	blood_MONOCYTE_COUNT.BOLT-LMM	Monocyte count	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002341/ScoringFiles/PGS002341.txt.gz
PGS002342	mental_NEUROTICISM.BOLT-LMM	Neuroticism	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002342/ScoringFiles/PGS002342.txt.gz
PGS002343	blood_PLATELET_COUNT.BOLT-LMM	Platelet count	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002343/ScoringFiles/PGS002343.txt.gz
PGS002344	disease_PSORIASIS.BOLT-LMM	Psoriasis	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002344/ScoringFiles/PGS002344.txt.gz
PGS002345	blood_RED_COUNT.BOLT-LMM	Red blood cell count	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002345/ScoringFiles/PGS002345.txt.gz
PGS002346	blood_RBC_DISTRIB_WIDTH.BOLT-LMM	Red blood cell distribution width	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002346/ScoringFiles/PGS002346.txt.gz
PGS002347	disease_RESPIRATORY_ENT.BOLT-LMM	Respiratory and ear-nose-throat diseases	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002347/ScoringFiles/PGS002347.txt.gz
PGS002348	cov_SMOKING_STATUS.BOLT-LMM	Smoking status	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002348/ScoringFiles/PGS002348.txt.gz
PGS002349	bp_SYSTOLICadjMEDz.BOLT-LMM	Systolic blood pressure	1109311	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002349/ScoringFiles/PGS002349.txt.gz
