phenotype_name,accession_id,accession_name,accession_cs_number,accession_longitude,accession_latitude,accession_country,phenotype_value,obs_unit_id
FLC,7296,Petergof,CS77170,29.0,59.0,Russia,0.109,732
FLC,7522,Mr-0,,9.65,44.15,Italy,2.695,1127
FLC,8310,Hs-0,,9.44,52.24,GER,0.184,171
FLC,8311,In-0,CS78903,11.5,47.5,Austria,1.516,173
FLC,8312,Is-0,CS78904,7.5,50.5,GER,0.32799999999999996,178
FLC,7519,ÖMö2-3,,15.78,56.14,Sweden,1.143,538
FLC,8271,Bu-0,,9.5,50.5,GER,0.146,849
FLC,8334,Lu-1,CS77056,13.2,55.71,Sweden,1.69,82
FLC,8329,Lm-2,,0.5,48.0,France,0.102,84
FLC,8343,Na-1,CS76558,1.5,47.5,France,0.166,179
FLC,8215,Fei-0,,-8.32,40.5,POR,0.8390000000000001,528
FLC,8395,Tu-0,,7.5,45.0,Italy,0.035,867
FLC,7520,Lp2-2,CS76546,16.81,49.38,Czech Republic,0.155,1148
FLC,8351,Ost-0,CS77154,18.37,60.25,Sweden,2.07,182
FLC,8258,Bå4-1,CS76677,12.9,56.4,Sweden,0.33799999999999997,1134
FLC,8297,Ge-0,CS76875,6.08,46.5,SUI,4.352,370
FLC,8270,Bs-1,,7.5,47.5,SUI,0.48200000000000004,763
FLC,6939,Mt-0,,22.46,32.34,LIB,0.185,202
FLC,6898,An-1,CS76435,4.4,51.2167,Belgium,0.111,211
FLC,8296,Gd-1,,10.5,53.5,GER,0.127,375
FLC,6968,Tamm-2,CS76610,23.5,60.0,Finland,2.197,882
FLC,8247,San-2,CS77233,13.74,56.07,Sweden,3.1510000000000002,745
FLC,6980,Ws-0.1,,30.0,52.3,Russia,1.499,219
FLC,7461,H55,CS76897,15.0,49.0,Czech Republic,0.469,890
FLC,6901,Bil-7,CS76710,18.484,63.324,Sweden,1.473,589
FLC,7515,RRS-10,CS76592,-86.4251,41.5609,US,0.272,897
FLC,7518,ÖMö2-1,,15.78,56.14,Sweden,1.715,232
FLC,6983,Yo-0,,-119.35,37.45,US,0.7020000000000001,241
FLC,6960,Rennes-11,CS77211,-1.41,48.5,France,0.24100000000000002,250
FLC,6936,Lz-0,,3.3,46.0,France,1.3780000000000001,752
FLC,8222,Lis-2,CS77043,14.775,56.0328,Sweden,1.265,260
FLC,8230,Algutsrum,CS76657,16.5,56.68,Sweden,2.9410000000000003,261
FLC,8231,Brö1-6,CS76726,16.0,56.3,Sweden,1.882,268
FLC,8283,Dra3-1,CS76811,14.12,55.76,Sweden,2.073,553
FLC,6940,Mz-0,CS76557,8.3,50.3,GER,0.096,924
FLC,6985,Zdr-6,,16.2544,49.3853,Czech Republic,0.336,333
FLC,8387,St-0,CS77270,18.0,59.0,Sweden,0.057999999999999996,567
FLC,8213,Pro-0,,-6.0,43.25,Spain,0.335,588
FLC,6043,Löv-1,CS77049,18.079,62.801,Sweden,1.49,574
FLC,6042,Lom1-1,CS77048,13.9,56.09,Sweden,0.052000000000000005,576
FLC,6945,Nok-3,CS76562,4.45,52.24,NED,0.858,1007
FLC,6919,Ga-0,CS76490,8.0,50.3,GER,0.7,341
FLC,6937,Mrk-0,,9.3,49.0,GER,0.081,1149
FLC,8300,Gr-1,,15.5,47.0,Austria,0.175,464
FLC,6964,Spr1-2,,16.03529,56.31635,Sweden,0.7709999999999999,1151
FLC,6965,Spr1-6,,16.03529,56.31635,Sweden,1.7930000000000001,1159
FLC,6970,Ts-1,CS76615,2.93056,41.7194,Spain,3.633,611
FLC,8239,PHW-3,CS76976,7.0,51.0,GER,0.062,845
FLC,6974,Ull2-5,CS78818,13.9707,56.0648,Sweden,1.3459999999999999,1166
FLC,6913,Eden-2,CS76827,18.177,62.877,Sweden,1.8459999999999999,932
FLC,6897,Ag-0,CS76430,1.3,45.0,France,2.867,210
FLC,8245,Seattle-0,,-122.2,47.0,US,0.36200000000000004,638
