# E. coli K-12 conditional gene essentiality across 4 minimal media.
# Source: Orth et al. 2011, Mol Syst Biol 7:535 (iJO1366), Supplementary Table 1
#   'Results of the experimental growth phenotype screen'. doi:10.1038/msb.2011.65
# Licence: CC-BY (Molecular Systems Biology open access). Redistributed with attribution.
# Retrieved 2026-08-12 via Europe PMC supplementaryFiles API (PMC3261703).
# exp_* = EXPERIMENTAL essentiality (E/N). fba_* = the PAPER's own iJO1366 FBA prediction (E/N),
#   retained as a reproduction gate -- NOT a label.
gene_id	gene	exp_glucose_aerobic	exp_glucose_anaerobic	exp_lactate_aerobic	exp_succinate_aerobic	fba_glucose_aerobic	fba_glucose_anaerobic	fba_lactate_aerobic	fba_succinate_aerobic	conditionally_essential
b3894	fdoG	N	N	N	N	N	N	N	N	NO
b1623	add	N	N	N	N	N	N	N	N	NO
b1759	nudG	N	N	N	N	N	N	N	N	NO
b1982	amn	N	N	N	N	N	N	N	N	NO
b2143	cdd	N	N	N	N	N	N	N	N	NO
b2162	rihB	N	N	N	N	N	N	N	N	NO
b2406	xapB	N	N	N	N	N	N	N	N	NO
b2407	xapA	N	N	N	N	N	N	N	N	NO
b2499	purM	E	E	E	E	E	E	E	E	NO
b2500	purN	N	N	N	N	N	N	N	N	NO
b2675	nrdE	N	N	N	N	N	N	N	N	NO
b2676	nrdF	N	N	N	N	N	N	N	N	NO
b2841	araE	N	N	N	N	N	N	N	N	NO
b4213	cpdB	N	N	N	N	N	N	N	N	NO
b4237	nrdG	N	N	N	N	N	N	N	N	NO
b4238	nrdD	N	N	N	N	N	N	N	N	NO
b4381	deoC	N	N	N	N	N	N	N	N	NO
b4382	deoA	N	N	N	N	N	N	N	N	NO
b4384	deoD	N	N	N	N	N	N	N	N	NO
b2784	relA	N	N	N	N	N	N	N	N	NO
b0612	citT	N	N	N	N	N	N	N	N	NO
b0652	gltL	N	N	N	N	N	N	N	N	NO
b0653	gltK	N	N	N	N	N	N	N	N	NO
b0654	gltJ	N	N	N	N	N	N	N	N	NO
b0679	nagE	N	N	N	N	N	N	N	N	NO
b0692	potE	N	N	N	N	N	N	N	N	NO
b0696	kdpC	N	N	N	N	N	N	N	N	NO
b0698	kdpA	N	N	N	N	N	N	N	N	NO
b0751	pnuC	N	N	N	N	N	N	N	N	NO
b0764	modB	N	N	N	N	N	N	N	N	NO
b0765	modC	N	N	N	N	N	N	N	N	NO
b0809	glnQ	N	N	N	N	N	N	N	N	NO
b0810	glnP	N	N	N	N	N	N	N	N	NO
b0811	glnH	N	N	N	N	N	N	N	N	NO
b0842	cmr	N	N	N	N	N	N	N	N	NO
b0854	potF	N	N	N	N	N	N	N	N	NO
b0857	potI	N	N	N	N	N	N	N	N	NO
b0861	artM	N	N	N	N	N	N	N	N	NO
b0862	artQ	N	N	N	N	N	N	N	N	NO
b0864	artP	N	N	N	N	N	N	N	N	NO
b0904	focA	N	N	N	N	N	N	N	N	NO
b1015	putP	N	N	N	N	N	N	N	N	NO
b1123	potD	N	N	N	N	N	N	N	N	NO
b1124	potC	N	N	N	N	N	N	N	N	NO
b1186	nhaB	N	N	N	N	N	N	N	N	NO
b1216	chaA	N	N	N	N	N	N	N	N	NO
b1246	oppD	N	N	N	N	N	N	N	N	NO
b1250	kch	N	N	N	N	N	N	N	N	NO
b1363	trkG	N	N	N	N	N	N	N	N	NO
b1441	ydcT	N	N	N	N	N	N	N	N	NO
b1443	ydcV	N	N	N	N	N	N	N	N	NO
b1483	ddpF	N	N	N	N	N	N	N	N	NO
b1485	ddpC	N	N	N	N	N	N	N	N	NO
b1484	ddpD	N	N	N	N	N	N	N	N	NO
b1486	ddpB	N	N	N	N	N	N	N	N	NO
b1492	gadC	N	N	N	N	N	N	N	N	NO
b1605	ydgI	N	N	N	N	N	N	N	N	NO
b1621	malX	N	N	N	N	N	N	N	N	NO
b1709	btuD	N	N	N	N	N	N	N	N	NO
b1711	btuC	N	N	N	N	N	N	N	N	NO
b1817	manX	N	N	N	N	N	N	N	N	NO
b1819	manZ	N	N	N	N	N	N	N	N	NO
b1859	znuB	N	N	N	N	N	N	N	N	NO
b1900	araG	N	N	N	N	N	N	N	N	NO
b1901	araF	N	N	N	N	N	N	N	N	NO
b1907	tyrP	N	N	N	N	N	N	N	N	NO
b2092	gatC	N	N	N	N	N	N	N	N	NO
b2129	yehX	N	N	N	N	N	N	N	N	NO
b2148	mglC	N	N	N	N	N	N	N	N	NO
b2149	mglA	N	N	N	N	N	N	N	N	NO
b2156	lysP	N	N	N	N	N	N	N	N	NO
b3726	pstA	N	N	N	N	N	N	N	N	NO
b3728	pstS	N	N	N	N	N	N	N	N	NO
b3749	rbsA	N	N	N	N	N	N	N	N	NO
b3750	rbsC	N	N	N	N	N	N	N	N	NO
b3816	corA	N	N	N	N	N	N	N	N	NO
b3907	rhaT	N	N	N	N	N	N	N	N	NO
b3917	sbp	N	N	N	N	N	N	N	N	NO
b3927	glpF	N	N	N	N	N	N	N	N	NO
b4031	xylE	N	N	N	N	N	N	N	N	NO
b4032	malG	N	N	N	N	N	N	N	N	NO
b4033	malF	N	N	N	N	N	N	N	N	NO
b4034	malE	N	N	N	N	N	N	N	N	NO
b4035	malK	N	N	N	N	N	N	N	N	NO
b4077	gltP	N	N	N	N	N	N	N	N	NO
b4086	alsC	N	N	N	N	N	N	N	N	NO
b4088	alsB	N	N	N	N	N	N	N	N	NO
b4111	proP	N	N	N	N	N	N	N	N	NO
b4120	melB	N	N	N	N	N	N	N	N	NO
b4123	dcuB	N	N	N	N	N	N	N	N	NO
b4132	cadB	N	N	N	N	N	N	N	N	NO
b4208	cycA	N	N	N	N	N	N	N	N	NO
b4240	treB	N	N	N	N	N	N	N	N	NO
b4242	mgtA	N	N	N	N	N	N	N	N	NO
b4287	fecE	N	N	N	N	N	N	N	N	NO
b4289	fecC	N	N	N	N	N	N	N	N	NO
b4291	fecA	N	N	N	N	N	N	N	N	NO
b4321	gntP	N	N	N	N	N	N	N	N	NO
b1764	selD	N	N	N	N	N	N	N	N	NO
b2255	yfbG	N	N	N	N	N	N	N	N	NO
b2482	hyfB	N	N	N	N	N	N	N	N	NO
b2484	hyfD	N	N	N	N	N	N	N	N	NO
b2485	hyfE	N	N	N	N	N	N	N	N	NO
b2486	hyfF	N	N	N	N	N	N	N	N	NO
b2487	hyfG	N	N	N	N	N	N	N	N	NO
b2488	hyfH	N	N	N	N	N	N	N	N	NO
b2167	fruA	N	N	N	N	N	N	N	N	NO
b2169	fruB	N	N	N	N	N	N	N	N	NO
b2223	atoE	N	N	N	N	N	N	N	N	NO
b2306	hisP	N	N	N	N	N	N	N	N	NO
b2309	hisJ	N	N	N	N	N	N	N	N	NO
b2392	mntH	N	N	N	N	N	N	N	N	NO
b2393	nupC	N	N	N	N	N	N	N	N	NO
b2492	focB	N	N	N	N	N	N	N	N	NO
b2497	uraA	N	N	N	N	N	N	N	N	NO
b2663	gabP	N	N	N	N	N	N	N	N	NO
b2677	proV	N	N	N	N	N	N	N	N	NO
b2678	proW	N	N	N	N	N	N	N	N	NO
b2704	srlB	N	N	N	N	N	N	N	N	NO
b2789	gudP	N	N	N	N	N	N	N	N	NO
b2796	sdaC	N	N	N	N	N	N	N	N	NO
b2801	fucP	N	N	N	N	N	N	N	N	NO
b2987	pitB	N	N	N	N	N	N	N	N	NO
b3005	exbD	N	N	N	N	N	N	N	N	NO
b3093	exuT	N	N	N	N	N	N	N	N	NO
b3457	livH	N	N	N	N	N	N	N	N	NO
b3458	livK	N	N	N	N	N	N	N	N	NO
b3476	nikA	N	N	N	N	N	N	N	N	NO
b3478	nikC	N	N	N	N	N	N	N	N	NO
b3479	nikD	N	N	N	N	N	N	N	N	NO
b3480	nikE	N	N	N	N	N	N	N	N	NO
b3493	pitA	N	N	N	N	N	N	N	N	NO
b3540	dppF	N	N	N	N	N	N	N	N	NO
b3541	dppD	N	N	N	N	N	N	N	N	NO
b3542	dppC	N	N	N	N	N	N	N	N	NO
b3543	dppB	N	N	N	N	N	N	N	N	NO
b3132	kbaZ	N	N	N	N	N	N	N	N	NO
b3137	kbaY	N	N	N	N	N	N	N	N	NO
b3161	mtr	N	N	N	N	N	N	N	N	NO
b3350	kefB	N	N	N	N	N	N	N	N	NO
b3409	feoB	N	N	N	N	N	N	N	N	NO
b3415	gntT	N	N	N	N	N	N	N	N	NO
b3451	ugpE	N	N	N	N	N	N	N	N	NO
b3452	ugpA	N	N	N	N	N	N	N	N	NO
b3453	ugpB	N	N	N	N	N	N	N	N	NO
b3455	livG	N	N	N	N	N	N	N	N	NO
b3456	livM	N	N	N	N	N	N	N	N	NO
b3566	xylF	N	N	N	N	N	N	N	N	NO
b3567	xylG	N	N	N	N	N	N	N	N	NO
b3568	xylH	N	N	N	N	N	N	N	N	NO
b3599	mtlA	N	N	N	N	N	N	N	N	NO
b3653	gltS	N	N	N	N	N	N	N	N	NO
b3654	yicE	N	N	N	N	N	N	N	N	NO
b3666	uhpT	N	N	N	N	N	N	N	N	NO
b0349	mhpC	N	N	N	N	N	N	N	N	NO
b0365	tauA	N	N	N	N	N	N	N	N	NO
b0383	phoA	N	N	N	N	N	N	N	N	NO
b0428	cyoE	N	N	N	N	N	N	N	N	NO
b0511	ybbW	N	N	N	N	N	N	N	N	NO
b0604	dsbG	N	N	N	N	N	N	N	N	NO
b0616	citE	N	N	N	N	N	N	N	N	NO
b0936	ssuA	N	N	N	N	N	N	N	N	NO
b1125	potB	N	N	N	N	N	N	N	N	NO
b1329	mppA	N	N	N	N	N	N	N	N	NO
b1385	feaB	N	N	N	N	N	N	N	N	NO
b1478	adhP	N	N	N	N	N	N	N	N	NO
b1872	torZ	N	N	N	N	N	N	N	N	NO
b4460	araH	N	N	N	N	N	N	N	N	NO
b2022	hisB	E	E	E	E	E	E	E	E	NO
b2378	ddg	N	N	N	N	N	N	N	N	NO
b2441	eutB	N	N	N	N	N	N	N	N	NO
b2481	hyfA	N	N	N	N	N	N	N	N	NO
b2490	hyfJ	N	N	N	N	N	N	N	N	NO
b2498	upp	N	N	N	N	N	N	N	N	NO
b2901	bglA	N	N	N	N	N	N	N	N	NO
b2964	nupG	N	N	N	N	N	N	N	N	NO
b3115	tdcD	N	N	N	N	N	N	N	N	NO
b3224	nanT	N	N	N	N	N	N	N	N	NO
b3258	panF	N	N	N	N	N	N	N	N	NO
b3370	frlA	N	N	N	N	N	N	N	N	NO
b2890	lysS	N	N	N	N	N	N	N	N	NO
b3591	selA	N	N	N	N	N	N	N	N	NO
b4129	lysU	N	N	N	N	N	N	N	N	NO
b4219	msrA	N	N	N	N	N	N	N	N	NO
b0355	frmB	N	N	N	N	N	N	N	N	NO
b0433	ampG	N	N	N	N	N	N	N	N	NO
b0731	mngA	N	N	N	N	N	N	N	N	NO
b0935	ssuD	N	N	N	N	N	N	N	N	NO
b1308	pspE	N	N	N	N	N	N	N	N	NO
b1386	tynA	N	N	N	N	N	N	N	N	NO
b1463	nhoA	N	N	N	N	N	N	N	N	NO
b2154	yeiG	N	N	N	N	N	N	N	N	NO
b2744	surE	N	N	N	N	N	N	N	N	NO
b3266	acrF	N	N	N	N	N	N	N	N	NO
b3385	gph	N	N	N	N	N	N	N	N	NO
b3475	acpT	N	N	N	N	N	N	N	N	NO
b3503	arsC	N	N	N	N	N	N	N	N	NO
b3437	gntK	N	N	N	N	N	N	N	N	NO
b3450	ugpC	N	N	N	N	N	N	N	N	NO
b3460	livJ	N	N	N	N	N	N	N	N	NO
b3502	arsB	N	N	N	N	N	N	N	N	NO
b3588	aldB	N	N	N	N	N	N	N	N	NO
b3708	tnaA	N	N	N	N	N	N	N	N	NO
b3926	glpK	N	N	N	N	N	N	N	N	NO
b3940	metL	E	E	E	E	N	N	N	N	NO
b4407	thiS	E	E	E	E	E	E	E	E	NO
b3992	thiF	E	E	E	E	E	E	E	E	NO
b4071	nrfB	N	N	N	N	N	N	N	N	NO
b4139	aspA	N	N	N	N	N	N	N	N	NO
b4161	rsgA	N	N	N	N	N	N	N	N	NO
b4169	amiB	N	N	N	N	N	N	N	N	NO
b4288	fecD	N	N	N	N	N	N	N	N	NO
b4290	fecB	N	N	N	N	N	N	N	N	NO
b4194	ulaB	N	N	N	N	N	N	N	N	NO
b4195	ulaC	N	N	N	N	N	N	N	N	NO
b4196	ulaD	N	N	N	N	N	N	N	N	NO
b4197	ulaE	N	N	N	N	N	N	N	N	NO
b4198	ulaF	N	N	N	N	N	N	N	N	NO
b0004	thrC	E	E	E	E	E	E	E	E	NO
b0674	asnB	N	N	N	N	N	N	N	N	NO
b0754	aroG	N	N	N	N	N	N	N	N	NO
b0131	panD	E	E	E	E	E	E	E	E	NO
b1245	oppC	N	N	N	N	N	N	N	N	NO
b2458	eutI	N	N	N	N	N	N	N	N	NO
b2103	thiD	E	E	E	E	E	E	E	E	NO
b0576	pheP	N	N	N	N	N	N	N	N	NO
b2483	hyfC	N	N	N	N	N	N	N	N	NO
b1489	dos	N	N	N	N	N	N	N	N	NO
b2803	fucK	N	N	N	N	N	N	N	N	NO
b2919	ygfG	N	N	N	N	N	N	N	N	NO
b2943	galP	N	N	N	N	N	N	N	N	NO
b3116	tdcC	N	N	N	N	N	N	N	N	NO
b3117	tdcB	N	N	N	N	N	N	N	N	NO
b3124	garK	N	N	N	N	N	N	N	N	NO
b3126	garL	N	N	N	N	N	N	N	N	NO
b3127	garP	N	N	N	N	N	N	N	N	NO
b3212	gltB	N	N	N	N	N	N	N	N	NO
b3774	ilvC	E	E	E	E	E	E	E	E	NO
b3860	dsbA	N	N	N	N	N	N	N	N	NO
b4119	melA	N	N	N	N	N	N	N	N	NO
b4254	argI	N	N	N	N	N	N	N	N	NO
b0260	mmuP	N	N	N	N	N	N	N	N	NO
b0353	mhpT	N	N	N	N	N	N	N	N	NO
b0615	citF	N	N	N	N	N	N	N	N	NO
b0655	gltI	N	N	N	N	N	N	N	N	NO
b0894	dmsA	N	N	N	N	N	N	N	N	NO
b0934	ssuC	N	N	N	N	N	N	N	N	NO
b0963	mgsA	N	N	N	N	N	N	N	N	NO
b1297	puuA	N	N	N	N	N	N	N	N	NO
b1398	paaK	N	N	N	N	N	N	N	N	NO
b1588	ynfF	N	N	N	N	N	N	N	N	NO
b1590	ynfH	N	N	N	N	N	N	N	N	NO
b1746	astD	N	N	N	N	N	N	N	N	NO
b1801	yeaV	N	N	N	N	N	N	N	N	NO
b1919	yedO	N	N	N	N	N	N	N	N	NO
b2096	gatY	N	N	N	N	N	N	N	N	NO
b2201	ccmA	N	N	N	N	N	N	N	N	NO
b2203	napB	N	N	N	N	N	N	N	N	NO
b2508	guaB	E	E	E	E	N	N	N	N	NO
b2817	amiC	N	N	N	N	N	N	N	N	NO
b2866	xdhA	N	N	N	N	N	N	N	N	NO
b2965	speC	N	N	N	N	N	N	N	N	NO
b3012	dkgA	N	N	N	N	N	N	N	N	NO
b3073	ygjG	N	N	N	N	N	N	N	N	NO
b3125	garR	N	N	N	N	N	N	N	N	NO
b3222	nanK	N	N	N	N	N	N	N	N	NO
b3991	thiG	E	E	E	E	E	E	E	E	NO
b3962	sthA	N	N	N	N	N	N	N	N	NO
b3909	kdgT	N	N	N	N	N	N	N	N	NO
b3785	wzzE	N	N	N	N	N	N	N	N	NO
b3771	ilvD	E	E	E	E	E	E	E	E	NO
b3747	trkD	N	N	N	N	N	N	N	N	NO
b3739	atpI	N	N	N	N	N	N	N	N	NO
b3578	yiaN	N	N	N	N	N	N	N	N	NO
b3553	tiaE	N	N	N	N	N	N	N	N	NO
b3551	bisC	N	N	N	N	N	N	N	N	NO
b3546	eptB	N	N	N	N	N	N	N	N	NO
b3526	kdgK	N	N	N	N	N	N	N	N	NO
b3371	frlB	N	N	N	N	N	N	N	N	NO
b4117	adiA	N	N	N	N	N	N	N	N	NO
b4136	dipZ	N	N	N	N	N	N	N	N	NO
b4138	dcuA	N	N	N	N	N	N	N	N	NO
b4193	ulaA	N	N	N	N	N	N	N	N	NO
b4230	ytfT	N	N	N	N	N	N	N	N	NO
b4231	yjfF	N	N	N	N	N	N	N	N	NO
b4311	yjhA	N	N	N	N	N	N	N	N	NO
b4358	yjjN	N	N	N	N	N	N	N	N	NO
b4301	sgcE	N	N	N	N	N	N	N	N	NO
b2702	srlA	N	N	N	N	N	N	N	N	NO
b2703	srlE	N	N	N	N	N	N	N	N	NO
b4468	glcE	N	N	N	N	N	N	N	N	NO
b4471	tdcG	N	N	N	N	N	N	N	N	NO
b3849	trkH	N	N	N	N	N	N	N	N	NO
b3824	rhtB	N	N	N	N	N	N	N	N	NO
b3823	rhtC	N	N	N	N	N	N	N	N	NO
b4481	rffT	N	N	N	N	N	N	N	N	NO
b4477	dgoA	N	N	N	N	N	N	N	N	NO
b4478	dgoD	N	N	N	N	N	N	N	N	NO
b4474	frlC	N	N	N	N	N	N	N	N	NO
b4485	ytfR	N	N	N	N	N	N	N	N	NO
b0155	clcA	N	N	N	N	N	N	N	N	NO
b0221	fadE	N	N	N	N	N	N	N	N	NO
b0584	fepA	N	N	N	N	N	N	N	N	NO
b0825	fsaA	N	N	N	N	N	N	N	N	NO
b0829	yliA	N	N	N	N	N	N	N	N	NO
b1006	ycdG	N	N	N	N	N	N	N	N	NO
b1198	dhaH	N	N	N	N	N	N	N	N	NO
b1199	dhaL	N	N	N	N	N	N	N	N	NO
b1200	dhaK	N	N	N	N	N	N	N	N	NO
b1479	sfcA	N	N	N	N	N	N	N	N	NO
b1487	ddpA	N	N	N	N	N	N	N	N	NO
b1533	eamA	N	N	N	N	N	N	N	N	NO
b1592	clcB	N	N	N	N	N	N	N	N	NO
b1723	pfkB	N	N	N	N	N	N	N	N	NO
b1896	otsA	N	N	N	N	N	N	N	N	NO
b2010	dacD	N	N	N	N	N	N	N	N	NO
b2051	nudD	N	N	N	N	N	N	N	N	NO
b2097	fbaB	N	N	N	N	N	N	N	N	NO
b2134	pbpG	N	N	N	N	N	N	N	N	NO
b2253	yfbE	N	N	N	N	N	N	N	N	NO
b2914	rpiA	N	N	N	N	N	N	N	N	NO
b2963	mltC	N	N	N	N	N	N	N	N	NO
b4390	nadR	N	N	N	N	N	N	N	N	NO
b2489	hyfI	N	N	N	N	N	N	N	N	NO
b0198	metI	N	N	N	N	N	N	N	N	NO
b0331	prpB	N	N	N	N	N	N	N	N	NO
b0763	modA	N	N	N	N	N	N	N	N	NO
b2787	gudD	N	N	N	N	N	N	N	N	NO
b2521	sseA	N	N	N	N	N	N	N	N	NO
b1469	narU	N	N	N	N	N	N	N	N	NO
b0123	cueO	N	N	N	N	N	N	N	N	NO
b1033	ycdW	N	N	N	N	N	N	N	N	NO
b0622	crcA	N	N	N	N	N	N	N	N	NO
b2032	wbbK	N	N	N	N	N	N	N	N	NO
b2034	wbbI	N	N	N	N	N	N	N	N	NO
b2170	setB	N	N	N	N	N	N	N	N	NO
b1109	ndh	N	N	N	N	N	N	N	N	NO
b0875	aqpZ	N	N	N	N	N	N	N	N	NO
b3374	frlD	N	N	N	N	N	N	N	N	NO
b4356	yjiZ	N	N	N	N	N	N	N	N	NO
b0828	iaaA	N	N	N	N	N	N	N	N	NO
b1748	astC	N	N	N	N	N	N	N	N	NO
b1319	ompG	N	N	N	N	N	N	N	N	NO
b2519	pbpC	N	N	N	N	N	N	N	N	NO
b3265	acrE	N	N	N	N	N	N	N	N	NO
b3624	rfaZ	N	N	N	N	N	N	N	N	NO
b2662	gabT	N	N	N	N	N	N	N	N	NO
b3213	gltD	N	N	N	N	N	N	N	N	NO
b3583	sgbE	N	N	N	N	N	N	N	N	NO
b1224	narG	N	N	N	N	N	N	N	N	NO
b1225	narH	N	N	N	N	N	N	N	N	NO
b1301	puuB	N	N	N	N	N	N	N	N	NO
b1475	fdnH	N	N	N	N	N	N	N	N	NO
b2033	wbbJ	N	N	N	N	N	N	N	N	NO
b2036	glf	N	N	N	N	N	N	N	N	NO
b2095	gatZ	N	N	N	N	N	N	N	N	NO
b2341	yfcX	N	N	N	N	N	N	N	N	NO
b2722	hycD	N	N	N	N	N	N	N	N	NO
b2723	hycC	N	N	N	N	N	N	N	N	NO
b2724	hycB	N	N	N	N	N	N	N	N	NO
b2799	fucO	N	N	N	N	N	N	N	N	NO
b2800	fucA	N	N	N	N	N	N	N	N	NO
b2802	fucI	N	N	N	N	N	N	N	N	NO
b3417	malP	N	N	N	N	N	N	N	N	NO
b0038	caiB	N	N	N	N	N	N	N	N	NO
b0335	prpE	N	N	N	N	N	N	N	N	NO
b0469	apt	N	N	N	N	N	N	N	N	NO
b3831	udp	N	N	N	N	N	N	N	N	NO
b2518	ndk	N	N	N	N	N	N	N	N	NO
b0343	lacY	N	N	N	N	N	N	N	N	NO
b0589	fepG	N	N	N	N	N	N	N	N	NO
b0697	kdpB	N	N	N	N	N	N	N	N	NO
b0832	yliD	N	N	N	N	N	N	N	N	NO
b1223	narK	N	N	N	N	N	N	N	N	NO
b1818	manY	N	N	N	N	N	N	N	N	NO
b2093	gatB	N	N	N	N	N	N	N	N	NO
b2240	glpT	N	N	N	N	N	N	N	N	NO
b2307	hisM	N	N	N	N	N	N	N	N	NO
b2308	hisQ	N	N	N	N	N	N	N	N	NO
b2310	argT	N	N	N	N	N	N	N	N	NO
b2975	yghK	N	N	N	N	N	N	N	N	NO
b3477	nikB	N	N	N	N	N	N	N	N	NO
b3603	lldP	N	N	N	N	N	N	N	N	NO
b4087	alsA	N	N	N	N	N	N	N	N	NO
b0937	ssuE	N	N	N	N	N	N	N	N	NO
b2303	folX	N	N	N	N	N	N	N	N	NO
b3057	bacA	N	N	N	N	N	N	N	N	NO
b4055	aphA	N	N	N	N	N	N	N	N	NO
b0350	mhpD	N	N	N	N	N	N	N	N	NO
b2066	udk	N	N	N	N	N	N	N	N	NO
b3454	livF	N	N	N	N	N	N	N	N	NO
b2587	kgtP	N	N	N	N	N	N	N	N	NO
b0125	hpt	N	N	N	N	N	N	N	N	NO
b1453	ansP	N	N	N	N	N	N	N	N	NO
b2883	guaD	N	N	N	N	N	N	N	N	NO
b3114	tdcE	N	N	N	N	N	N	N	N	NO
b3945	gldA	N	N	N	N	N	N	N	N	NO
b4467	glcF	N	N	N	N	N	N	N	N	NO
b2286	nuoC	N	N	N	N	N	N	N	N	NO
b0073	leuB	E	E	E	E	E	E	E	E	NO
b0855	potG	N	N	N	N	N	N	N	N	NO
b1193	emtA	N	N	N	N	N	N	N	N	NO
b1701	ydiD	N	N	N	N	N	N	N	N	NO
b1857	znuA	N	N	N	N	N	N	N	N	NO
b2027	cld	N	N	N	N	N	N	N	N	NO
b3781	trxA	N	N	N	N	N	N	N	N	NO
b3748	rbsD	N	N	N	N	N	N	N	N	NO
b3691	dgoT	N	N	N	N	N	N	N	N	NO
b3390	aroK	N	N	N	N	N	N	N	N	NO
b4192	ulaG	N	N	N	N	N	N	N	N	NO
b0621	dcuC	N	N	N	N	N	N	N	N	NO
b0841	ybjG	N	N	N	N	N	N	N	N	NO
b4476	gntU	N	N	N	N	N	N	N	N	NO
b2937	speB	N	N	N	N	N	N	N	N	NO
b0830	yliB	N	N	N	N	N	N	N	N	NO
b0207	dkgB	N	N	N	N	N	N	N	N	NO
b0514	glxK	N	N	N	N	N	N	N	N	NO
b3779	gpp	N	N	N	N	N	N	N	N	NO
b0115	aceF	E	N	E	E	N	N	N	N	YES
b0118	acnB	N	N	N	N	N	N	N	N	NO
b0721	sdhC	N	N	N	E	N	N	N	E	YES
b0722	sdhD	N	N	E	E	N	N	N	E	YES
b0724	sdhB	N	N	N	E	N	N	N	E	YES
b0726	sucA	N	N	E	N	N	N	N	N	YES
b0727	sucB	N	N	E	E	N	N	N	N	YES
b0728	sucC	N	E	N	N	N	N	N	N	YES
b0902	pflA	N	E	N	N	N	N	N	N	YES
b0903	pflB	N	E	N	N	N	N	N	N	YES
b1241	adhE	N	E	N	N	N	N	N	N	YES
b1702	pps	N	N	E	N	N	N	N	N	YES
b2210	mqo	N	N	N	N	N	N	N	N	NO
b2277	nuoM	N	N	N	E	N	N	N	N	YES
b2282	nuoH	N	N	N	N	N	N	N	N	NO
b2283	nuoG	N	N	E	N	N	N	N	N	YES
b3236	mdh	N	N	N	E	N	N	N	N	YES
b3380	yhfW	N	N	N	N	N	N	N	N	NO
b3916	pfkA	E	E	N	N	N	N	N	N	YES
b0688	pgm	N	E	N	N	N	N	N	N	YES
b0734	cydB	N	E	N	N	N	N	N	N	YES
b0121	speE	N	N	N	N	N	N	N	N	NO
b0114	aceE	E	N	E	E	N	N	N	N	YES
b4232	fbp	N	N	E	E	N	N	N	N	YES
b2296	ackA	N	E	N	N	N	N	N	N	YES
b1278	pgpB	N	N	N	N	N	N	N	N	NO
b0957	ompA	E	N	N	N	N	N	N	N	YES
b1377	ompN	N	N	N	N	N	N	N	N	NO
b4036	lamB	N	N	N	N	N	N	N	N	NO
b3925	glpX	N	N	N	N	N	N	N	N	NO
b2023	hisH	E	E	E	E	E	E	E	E	NO
b2328	mepA	N	N	N	N	N	N	N	N	NO
b3447	ggt	N	N	N	N	N	N	N	N	NO
b0516	allC	N	N	E	N	N	N	N	N	YES
b1488	ddpX	N	N	N	N	N	N	N	N	NO
b1773	ydjI	N	N	N	N	N	N	N	N	NO
b1119	ycfX	N	N	N	N	N	N	N	N	NO
b1298	puuD	N	N	N	N	N	N	N	N	NO
b1654	ydhD	N	N	N	N	N	N	N	N	NO
b0662	ubiF	N	N	E	E	N	N	N	N	YES
b1606	folM	N	N	N	N	N	N	N	N	NO
b1781	yeaE	N	N	N	N	N	N	N	N	NO
b2045	wcaK	N	N	N	N	N	N	N	N	NO
b3575	yiaK	N	N	N	N	N	N	N	N	NO
b3172	argG	E	E	E	E	E	E	E	E	NO
b1249	cls	N	N	N	N	N	N	N	N	NO
b1677	lpp	N	E	N	N	N	N	N	N	YES
b3500	gor	N	N	N	N	N	N	N	N	NO
b3942	katG	N	N	N	N	N	N	N	N	NO
b3908	sodA	N	N	N	N	N	N	N	N	NO
b1656	sodB	N	N	N	N	N	N	N	N	NO
b2920	ygfH	N	N	N	N	N	N	N	N	NO
b2923	argO	N	N	N	N	N	N	N	N	NO
b2954	yggV	N	N	N	N	N	N	N	N	NO
b3028	mdaB	N	N	N	N	N	N	N	N	NO
b3790	rffC	N	N	N	N	N	N	N	N	NO
b3875	ompL	N	N	N	N	N	N	N	N	NO
b4227	ytfQ	N	N	N	N	N	N	N	N	NO
b0047	kefC	N	N	N	N	N	N	N	N	NO
b0112	aroP	N	N	N	N	N	N	N	N	NO
b0314	betT	N	N	N	N	N	N	N	N	NO
b0336	codB	N	N	N	N	N	N	N	N	NO
b0366	tauB	N	N	N	N	N	N	N	N	NO
b0367	tauC	N	N	N	N	N	N	N	N	NO
b0451	amtB	N	N	N	N	N	N	N	N	NO
b0484	copA	N	N	N	E	N	N	N	N	YES
b0585	fes	E	N	E	E	N	N	N	N	YES
b0588	fepC	E	N	E	E	N	N	N	N	YES
b0003	thrB	E	E	E	E	E	E	E	E	NO
b0037	caiC	N	N	N	N	N	N	N	N	NO
b0243	proA	E	E	E	E	N	N	N	N	NO
b0870	ltaE	N	N	N	N	N	N	N	N	NO
b1264	trpE	E	E	E	E	E	E	E	E	NO
b2414	cysK	E	E	E	E	N	N	N	N	NO
b2421	cysM	N	N	N	E	N	N	N	N	YES
b0586	entF	E	N	E	E	N	N	N	N	YES
b0594	entE	E	N	E	E	N	N	N	N	YES
b0595	entB	E	N	E	E	N	N	N	N	YES
b1812	pabB	E	E	E	E	E	E	E	E	NO
b2261	menC	N	N	N	N	N	N	N	N	NO
b2311	ubiX	N	N	E	N	N	N	N	N	YES
b3844	fre	N	N	N	E	N	N	N	N	YES
b3993	thiE	E	E	E	E	E	E	E	E	NO
b1107	nagZ	N	N	N	N	N	N	N	N	NO
