# E. coli K-12 conditional gene essentiality across 4 minimal media.
# Source: Orth et al. 2011, Mol Syst Biol 7:535 (iJO1366), Supplementary Table 1
#   'Results of the experimental growth phenotype screen'. doi:10.1038/msb.2011.65
# Licence: CC-BY (Molecular Systems Biology open access). Redistributed with attribution.
# Retrieved 2026-08-12 via Europe PMC supplementaryFiles API (PMC3261703).
# exp_* = EXPERIMENTAL essentiality (E/N). fba_* = the PAPER's own iJO1366 FBA prediction (E/N),
#   retained as a reproduction gate -- NOT a label.
gene_id	gene	exp_glucose_aerobic	exp_glucose_anaerobic	exp_lactate_aerobic	exp_succinate_aerobic	fba_glucose_aerobic	fba_glucose_anaerobic	fba_lactate_aerobic	fba_succinate_aerobic	conditionally_essential
b2254	yfbF	N	N	N	N	N	N	N	N	NO
b2257	arnT	N	N	N	N	N	N	N	N	NO
b2467	yffH	N	N	N	N	N	N	N	N	NO
b2690	yqaB	N	N	N	N	N	N	N	N	NO
b2711	norW	N	N	N	N	N	N	N	N	NO
b2835	ygeD	N	N	N	N	N	N	N	N	NO
b2710	norV	N	N	N	N	N	N	N	N	NO
b0509	glxR	N	N	N	N	N	N	N	N	NO
b1692	ydiB	N	N	N	N	N	N	N	N	NO
b0813	rhtA	N	N	N	N	N	N	N	N	NO
b1134	ymfB	N	N	N	N	N	N	N	N	NO
b1442	ydcU	N	N	N	N	N	N	N	N	NO
b1768	pncA	N	N	N	N	N	N	N	N	NO
b2781	mazG	N	N	N	N	N	N	N	N	NO
b0007	yaaJ	N	N	N	N	N	N	N	N	NO
b0067	thiP	N	N	N	N	N	N	N	N	NO
b0789	ybhO	N	N	N	N	N	N	N	N	NO
b2342	yfcY	N	N	N	N	N	N	N	N	NO
b2538	hcaE	N	N	N	N	N	N	N	N	NO
b2810	csdA	N	N	N	N	N	N	N	N	NO
b0446	cof	N	N	N	N	N	N	N	N	NO
b0613	citG	N	N	N	N	N	N	N	N	NO
b2418	pdxK	N	N	N	N	N	N	N	N	NO
b2429	murP	N	N	N	N	N	N	N	N	NO
b0066	thiQ	N	N	N	N	N	N	N	N	NO
b0197	metQ	N	N	N	N	N	N	N	N	NO
b0368	tauD	N	N	N	N	N	N	N	N	NO
b0485	ybaS	N	N	N	N	N	N	N	N	NO
b0650	hscC	N	N	N	N	N	N	N	N	NO
b0752	zitB	N	N	N	N	N	N	N	N	NO
b1524	yneH	N	N	N	N	N	N	N	N	NO
b1106	ycfN	N	N	N	N	N	N	N	N	NO
b0517	allD	N	N	N	N	N	N	N	N	NO
b3368	cysG	E	E	E	E	E	E	E	E	NO
b1805	fadD	N	N	N	N	N	N	N	N	NO
b1646	sodC	N	N	N	N	N	N	N	N	NO
b2867	xdhB	N	N	N	N	N	N	N	N	NO
b3001	yghZ	N	N	N	N	N	N	N	N	NO
b3029	ygiN	N	N	N	N	N	N	N	N	NO
b3089	sstT	N	N	N	N	N	N	N	N	NO
b3665	ade	N	N	N	N	N	N	N	N	NO
b3397	nudE	N	N	N	N	N	N	N	N	NO
b3577	yiaM	N	N	N	N	N	N	N	N	NO
b3579	yiaO	N	N	N	N	N	N	N	N	NO
b3128	garD	N	N	N	N	N	N	N	N	NO
b3679	yidK	N	N	N	N	N	N	N	N	NO
b3915	fieF	N	N	N	N	N	N	N	N	NO
b3996	nudC	N	N	N	N	N	N	N	N	NO
b4067	actP	N	N	N	N	N	N	N	N	NO
b4115	adiC	N	N	N	N	N	N	N	N	NO
b4374	yjjG	N	N	N	N	N	N	N	N	NO
b1865	nudB	N	N	N	N	N	N	N	N	NO
b0019	nhaA	N	N	N	N	N	N	N	N	NO
b0151	fhuC	N	N	N	N	N	N	N	N	NO
b0152	fhuD	N	N	N	N	N	N	N	N	NO
b0153	fhuB	N	N	N	N	N	N	N	N	NO
b0199	metN	N	N	N	N	N	N	N	N	NO
b0341	cynX	N	N	N	N	N	N	N	N	NO
b0401	brnQ	N	N	N	N	N	N	N	N	NO
b0071	leuD	E	E	E	E	E	E	E	E	NO
b0072	leuC	E	E	E	E	E	E	E	E	NO
b0074	leuA	E	E	E	E	E	E	E	E	NO
b0078	ilvH	N	N	N	N	N	N	N	N	NO
b0242	proB	E	E	E	E	N	N	N	N	NO
b0261	mmuM	N	N	N	N	N	N	N	N	NO
b0273	argF	N	N	N	N	N	N	N	N	NO
b0386	proC	E	E	E	E	E	E	E	E	NO
b0388	aroL	N	N	N	N	N	N	N	N	NO
b0907	serC	E	E	E	E	E	E	E	E	NO
b0908	aroA	E	E	E	E	E	E	E	E	NO
b1059	solA	N	N	N	N	N	N	N	N	NO
b1260	trpA	E	E	E	E	E	E	E	E	NO
b1261	trpB	E	E	E	E	E	E	E	E	NO
b1263	trpD	E	E	E	E	E	E	E	E	NO
b1302	puuE	N	N	N	N	N	N	N	N	NO
b1584	speG	N	N	N	N	N	N	N	N	NO
b1693	aroD	E	E	E	E	E	E	E	E	NO
b1704	aroH	N	N	N	N	N	N	N	N	NO
b1744	astE	N	N	N	N	N	N	N	N	NO
b1745	astB	N	N	N	N	N	N	N	N	NO
